package,revdep
assertthat,afmToolkit
assertthat,ALA4R
assertthat,altair
assertthat,antaresEditObject
assertthat,antaresViz
assertthat,AntWeb
assertthat,arrow
assertthat,auk
assertthat,awsjavasdk
assertthat,beam
assertthat,bigdist
assertthat,bigQueryR
assertthat,bigrquery
assertthat,binman
assertthat,Bioi
assertthat,bnclassify
assertthat,boxr
assertthat,breathtestcore
assertthat,broman
assertthat,bulletcp
assertthat,CAISEr
assertthat,CausalImpact
assertthat,chillR
assertthat,cicerone
assertthat,circumplex
assertthat,citr
assertthat,cli
assertthat,clustringr
assertthat,coala
assertthat,codyn
assertthat,condusco
assertthat,customLayout
assertthat,dataonderivatives
assertthat,DataPackageR
assertthat,DataSpaceR
assertthat,dbplyr
assertthat,delayed
assertthat,desc
assertthat,detrendr
assertthat,dgo
assertthat,dkanr
assertthat,dplyr
assertthat,dynutils
assertthat,easypackages
assertthat,eemR
assertthat,eph
assertthat,episheet
assertthat,ExpDE
assertthat,explore
assertthat,FastKNN
assertthat,fastrtext
assertthat,fbar
assertthat,fiery
assertthat,FitUltD
assertthat,fmbasics
assertthat,fmdates
assertthat,fuzzr
assertthat,ganalytics
assertthat,gastempt
assertthat,GerminaR
assertthat,ggloop
assertthat,ggPMX
assertthat,ggsom
assertthat,ggvis
assertthat,GillespieSSA2
assertthat,gistr
assertthat,git2rdata
assertthat,glmmfields
assertthat,GlmSimulatoR
assertthat,googleAnalyticsR
assertthat,googleAuthR
assertthat,googleCloudRunner
assertthat,googleCloudStorageR
assertthat,googleComputeEngineR
assertthat,googleLanguageR
assertthat,grattan
assertthat,gwer
assertthat,HARtools
assertthat,highcharter
assertthat,holodeck
assertthat,humanize
assertthat,huxtable
assertthat,implyr
assertthat,IOHexperimenter
assertthat,ISRaD
assertthat,jaatha
assertthat,kdensity
assertthat,keyring
assertthat,listWithDefaults
assertthat,liteq
assertthat,lmds
assertthat,luzlogr
assertthat,madrat
assertthat,managelocalrepo
assertthat,mcglm
assertthat,miniCRAN
assertthat,mknapsack
assertthat,MOEADr
assertthat,mRpostman
assertthat,nakagami
assertthat,nandb
assertthat,nanostringr
assertthat,NetworkInference
assertthat,neuroim
assertthat,nima
assertthat,OncoBayes2
assertthat,oppr
assertthat,origami
assertthat,osrmr
assertthat,pak
assertthat,paramlink
assertthat,pkgcache
assertthat,pkgmaker
assertthat,pkgnet
assertthat,pkgsearch
assertthat,precrec
assertthat,prioritizr
assertthat,pubtatordb
assertthat,purrrogress
assertthat,pushoverr
assertthat,qualpalr
assertthat,qualtRics
assertthat,r511
assertthat,RAhrefs
assertthat,raptr
assertthat,ratelimitr
assertthat,rayrender
assertthat,RBesT
assertthat,rchess
assertthat,RCMIP5
assertthat,rebird
assertthat,remindR
assertthat,reqres
assertthat,reutils
assertthat,rfisheries
assertthat,rfm
assertthat,rgoogleslides
assertthat,rhub
assertthat,rmake
assertthat,rmapzen
assertthat,rmdfiltr
assertthat,rnr
assertthat,rotl
assertthat,routr
assertthat,rpcdsearch
assertthat,rprime
assertthat,rrd
assertthat,rvinecopulib
assertthat,RxODE
assertthat,saeRobust
assertthat,safer
assertthat,salty
assertthat,santoku
assertthat,sapfluxnetr
assertthat,secret
assertthat,semver
assertthat,shinytest
assertthat,SimplifyStats
assertthat,sortable
assertthat,sparklyr
assertthat,sss
assertthat,staplr
assertthat,superml
assertthat,surveydata
assertthat,tatoo
assertthat,tensr
assertthat,testcorr
assertthat,testextra
assertthat,testthis
assertthat,TexExamRandomizer
assertthat,textreuse
assertthat,thinkr
assertthat,tibbletime
assertthat,tidydice
assertthat,tidyjson
assertthat,tidytransit
assertthat,togglr
assertthat,tricolore
assertthat,trread
assertthat,univariateML
assertthat,updog
assertthat,uptasticsearch
assertthat,upwaver
assertthat,useful
assertthat,varitas
assertthat,vegawidget
assertthat,viafr
assertthat,vinereg
assertthat,wdman
assertthat,wordbankr
assertthat,x3ptools
assertthat,xgxr
assertthat,XKCDdata
assertthat,ztype
attempt,dockerfiler
attempt,eph
attempt,geniusr
attempt,golem
attempt,languagelayeR
attempt,neo4r
attempt,proustr
attempt,tidystringdist
AUC,interpretR
AUC,iRF
AUC,kernelFactory
AUC,optiRum
AUC,randnet
automap,FeedbackTS
automap,hydroTSM
automap,intamap
automap,intamapInteractive
automap,psgp
automap,spatialrisk
automap,sptemExp
automap,UBL
backports,AMR
backports,base64url
backports,BatchExperiments
backports,BatchJobs
backports,batchtools
backports,brms
backports,broom
backports,checkmate
backports,cobalt
backports,decoder
backports,incadata
backports,mlr
backports,mlr3
backports,mlr3db
backports,mlr3filters
backports,mlr3misc
backports,mlr3pipelines
backports,mlrCPO
backports,mlrMBO
backports,OpenML
backports,paradox
backports,ParamHelpers
backports,quickPlot
backports,reproducible
backports,rprojroot
backports,SpaDES.core
backports,SpaDES.tools
backports,stringb
backports,styler
backports,WeightIt
bayesplot,baggr
bayesplot,bang
bayesplot,bayesvl
bayesplot,BGGM
bayesplot,brms
bayesplot,idealstan
bayesplot,mcp
bayesplot,missingHE
bayesplot,OncoBayes2
bayesplot,RBesT
bayesplot,revdbayes
bayesplot,rstanarm
bayesplot,rstap
bayesplot,shinystan
bayesplot,simmr
bayesplot,walker
bayestestR,effectsize
bayestestR,modelbased
bayestestR,parameters
bayestestR,performance
bayestestR,psycho
bayestestR,see
bayestestR,sjPlot
bayestestR,sjstats
BBmisc,aslib
BBmisc,BatchExperiments
BBmisc,BatchJobs
BBmisc,BlockCov
BBmisc,cmaesr
BBmisc,delayed
BBmisc,E4tools
BBmisc,ecr
BBmisc,emstreeR
BBmisc,EstimationTools
BBmisc,fail
BBmisc,farff
BBmisc,flacco
BBmisc,grapherator
BBmisc,llama
BBmisc,mcMST
BBmisc,metagen
BBmisc,mlr
BBmisc,mlrCPO
BBmisc,mlrMBO
BBmisc,mosmafs
BBmisc,nandb
BBmisc,netgen
BBmisc,OpenML
BBmisc,parallelMap
BBmisc,ParamHelpers
BBmisc,RBPcurve
BBmisc,SHAPforxgboost
BBmisc,smoof
BBmisc,stabm
BBmisc,SwarmSVM
BBmisc,tspmeta
BBmisc,tuneRanger
BBmisc,yakmoR
bbmle,bivgeom
bbmle,econet
bbmle,emdbook
bbmle,fitODBOD
bbmle,frair
bbmle,fusionclust
bbmle,Luminescence
bbmle,metaplus
bbmle,mistr
bbmle,RJafroc
bbmle,robmixglm
bbmle,rstpm2
bbmle,sads
bdsmatrix,bbmle
bdsmatrix,coxme
bdsmatrix,famSKATRC
bdsmatrix,plm
bdsmatrix,plsVarSel
bdsmatrix,RFGLS
bdsmatrix,splm
behavr,damr
behavr,ggetho
behavr,scopr
behavr,sleepr
behavr,zeitgebr
betareg,biasbetareg
betareg,distreg.vis
betareg,earlygating
betareg,hier.part
betareg,MarginalMediation
betareg,mfx
betareg,opticut
betareg,SetMethods
betareg,vortexR
bigassertr,bigparallelr
bigassertr,bigreadr
bigassertr,bigsnpr
bigassertr,bigstatsr
bigassertr,bigutilsr
binom,binomSamSize
binom,bootLR
binom,dpcR
binom,EGRETci
binom,inctools
binom,RJafroc
binom,TreatmentSelection
binom,trialr
binom,xgxr
bit,BGData
bit,bit64
bit,Cyclops
bit,DatabaseConnector
bit,ETLUtils
bit,ff
bit,ffbase
bit,FLightR
bit,NEff
bit,observer
bit,SpaDES.tools
bit,Stack
bit,symDMatrix
bit,TOC
bit64,antaresRead
bit64,arrow
bit64,bigrquery
bit64,boxr
bit64,CVXR
bit64,disk.frame
bit64,dplyr.teradata
bit64,fbRads
bit64,hdf5r
bit64,heims
bit64,LSPFP
bit64,nanotime
bit64,odbc
bit64,planor
bit64,RClickhouse
bit64,rFIA
bit64,RGoogleFit
bit64,rHealthDataGov
bit64,RMariaDB
bit64,RPostgres
bit64,RSQLite
bit64,scidb
bit64,shinylogs
bit64,twitteR
bit64,vroom
bitops,apng
bitops,bnstruct
bitops,cdb
bitops,CHCN
bitops,cherry
bitops,CorrectOverloadedPeaks
bitops,couchDB
bitops,entcn
bitops,GENEAread
bitops,geozoo
bitops,gepaf
bitops,getProxy
bitops,GGIR
bitops,ggmap
bitops,HierO
bitops,IgorR
bitops,mapsapi
bitops,MODIS
bitops,MODIStsp
bitops,multiCA
bitops,oro.nifti
bitops,osrmr
bitops,R4CouchDB
bitops,RCurl
bitops,rLiDAR
bitops,ryandexdirect
bitops,semtree
bitops,sysid
blob,DBItest
blob,flobr
blob,odbc
blob,RPostgres
blob,RSQLite
bmp,colorfindr
bmp,IM
bmp,MtreeRing
bmp,readbitmap
bmp,shelltrace
bootstrap,braQCA
bootstrap,Dowd
bootstrap,ECGofTestDx
bootstrap,fishmethods
bootstrap,GENLIB
bootstrap,GRTo
bootstrap,IntegratedMRF
bootstrap,MultivariateRandomForest
brew,BatchJobs
brew,batchtools
brew,diezeit
brew,leafletR
brew,leafpop
brew,mapview
brew,nlmixr
brew,opencpu
brew,rdnb
brew,Rook
brew,roxygen2
brew,RWsearch
brew,RxODE
brew,SortableHTMLTables
brew,sos
brew,tinyProject
brew,uavRmp
calibrate,directPA
calibrate,FRCC
calibrate,migration.indices
calibrate,phenability
calibrate,PopGenReport
calibrate,qqman
calibrate,ToolsForCoDa
calibrate,windfarmGA
capushe,adjclust
capushe,MuChPoint
capushe,nmfem
capushe,shock
capushe,slm
capushe,xLLiM
cellranger,googlesheets
cellranger,googlesheets4
cellranger,mschart
cellranger,readODS
cellranger,readxl
cellranger,readxlsb
cellranger,unpivotr
checkmate,amt
checkmate,aslib
checkmate,autocogs
checkmate,autothresholdr
checkmate,BatchExperiments
checkmate,BatchJobs
checkmate,batchtools
checkmate,BayesFM
checkmate,BBmisc
checkmate,botor
checkmate,cleanr
checkmate,clustree
checkmate,cmaesr
checkmate,coalitions
checkmate,codified
checkmate,cointReg
checkmate,comorbidity
checkmate,compboost
checkmate,CornerstoneR
checkmate,cusum
checkmate,DCCA
checkmate,detrendr
checkmate,discharge
checkmate,distr6
checkmate,document
checkmate,DtD
checkmate,DTSg
checkmate,ecr
checkmate,exampletestr
checkmate,excerptr
checkmate,fail
checkmate,farff
checkmate,filesstrings
checkmate,flacco
checkmate,forestplot
checkmate,fxtract
checkmate,ggparty
checkmate,ggPMX
checkmate,grapherator
checkmate,HDtest
checkmate,htmlTable
checkmate,HydeNet
checkmate,ijtiff
checkmate,inlmisc
checkmate,lazysql
checkmate,ldaPrototype
checkmate,learnr
checkmate,llama
checkmate,localICE
checkmate,loo
checkmate,markmyassignment
checkmate,MBNMAdose
checkmate,MBNMAtime
checkmate,mcMST
checkmate,mcparallelDo
checkmate,meditate
checkmate,metR
checkmate,mlr
checkmate,mlr3
checkmate,mlr3db
checkmate,mlr3filters
checkmate,mlr3measures
checkmate,mlr3misc
checkmate,mlr3pipelines
checkmate,mlr3proba
checkmate,mlr3tuning
checkmate,mlr3viz
checkmate,mlrCPO
checkmate,mlrMBO
checkmate,mmpf
checkmate,modelsummary
checkmate,mosmafs
checkmate,nandb
checkmate,netgen
checkmate,NetworkInference
checkmate,NLMR
checkmate,ODEnetwork
checkmate,ODEsensitivity
checkmate,OncoBayes2
checkmate,OpenML
checkmate,opentripplanner
checkmate,otpr
checkmate,packager
checkmate,paradox
checkmate,parallelMap
checkmate,ParamHelpers
checkmate,pixiedust
checkmate,poissonMT
checkmate,ProFit
checkmate,pxweb
checkmate,randomsearch
checkmate,RBesT
checkmate,RBPcurve
checkmate,RDML
checkmate,redcapAPI
checkmate,reinforcelearn
checkmate,rjstat
checkmate,ROI.plugin.qpoases
checkmate,rollRegres
checkmate,rscimark
checkmate,rsimsum
checkmate,scorepeak
checkmate,set6
checkmate,shinyMolBio
checkmate,smoof
checkmate,SpaDES.tools
checkmate,stabm
checkmate,strex
checkmate,summarytools
checkmate,SwarmSVM
checkmate,tsmp
checkmate,tspmeta
checkmate,xpectr
checkmate,yakmoR
checkr,dbflobr
checkr,flobr
checkr,mcmcderive
checkr,mcmcr
checkr,rtide
chk,dttr2
chk,nlist
chk,readwritesqlite
chk,rpdo
chk,shinyypr
chk,ssdtools
chk,term
chk,ypr
CircStats,adehabitatLT
CircStats,CircOutlier
CircStats,discharge
CircStats,FLightR
CircStats,interfr
CircStats,MCSim
CircStats,moveHMM
CircStats,SpaDES.tools
CircStats,SpatialVx
CircStats,ssMousetrack
CircStats,verification
circular,activity
circular,AeRobiology
circular,amt
circular,bayes4psy
circular,Bios2cor
circular,CircMLE
circular,CircOutlier
circular,CircSpaceTime
circular,cplots
circular,depth
circular,FLightR
circular,isocir
circular,kernplus
circular,kineticF
circular,monographaR
circular,NPCirc
circular,SOPIE
circular,vegclust
class,AdaSampling
class,BarcodingR
class,CepLDA
class,chemometrics
class,childsds
class,classifly
class,classInt
class,clv
class,clValid
class,ddalpha
class,DMwR2
class,e1071
class,EILA
class,flexclust
class,fpc
class,FSinR
class,geneSignatureFinder
class,ipred
class,kmlShape
class,lineup
class,longitudinalData
class,MBHdesign
class,mda
class,mlearning
class,MOCCA
class,Modalclust
class,multisom
class,OTclust
class,popsom
class,prcr
class,protoclass
class,qkerntool
class,RPEnsemble
class,som.nn
class,spFSR
class,stylo
class,supclust
class,svapls
class,UNCLES
classInt,aoristic
classInt,Biolinv
classInt,biscale
classInt,cartography
classInt,eurostat
classInt,FAOSTAT
classInt,frontiles
classInt,GADMTools
classInt,GoodmanKruskal
classInt,insurancerating
classInt,oceanis
classInt,plotKML
classInt,questionr
classInt,rangeMapper
classInt,rCarto
classInt,sf
classInt,shar
classInt,spatialrisk
classInt,stars
classInt,synthpop
classInt,TexMix
classInt,tmap
classInt,tmaptools
classInt,vpc
cli,anomalize
cli,available
cli,basket
cli,bcdata
cli,biocompute
cli,classyfireR
cli,cliapp
cli,coinmarketcapr
cli,configural
cli,correlationfunnel
cli,CrossClustering
cli,crypto
cli,cSEM
cli,descriptr
cli,devtools
cli,eplusr
cli,evaluator
cli,exuber
cli,featuretoolsR
cli,fgeo
cli,fpp3
cli,GA
cli,gcForest
cli,gh
cli,golem
cli,interactions
cli,ipumsr
cli,jsonstat
cli,jstor
cli,landscapemetrics
cli,MarginalMediation
cli,matchmaker
cli,NACHO
cli,ncodeR
cli,nlmixr
cli,openVA
cli,oppr
cli,outsider.base
cli,pak
cli,pillar
cli,pkgbuild
cli,pkgcache
cli,pkgdown
cli,ppgmmga
cli,psychmeta
cli,ramlegacy
cli,rcites
cli,rcmdcheck
cli,rcosmo
cli,rdoc
cli,RFishBC
cli,rhub
cli,rmd
cli,RxODE
cli,sars
cli,sdcHierarchies
cli,sessioninfo
cli,sinew
cli,skimr
cli,styler
cli,taxize
cli,testthat
cli,tibble
cli,tidyhydat
cli,tidymodels
cli,tidyquant
cli,tidyverse
cli,trimmer
cli,tune
cli,whereami
cli,workflows
cluster,abodOutlier
cluster,AdaptFit
cluster,ADPclust
cluster,agricolae
cluster,anocva
cluster,Anthropometry
cluster,aqp
cluster,AssocTests
cluster,autoBagging
cluster,BCHM
cluster,BiBitR
cluster,bootcluster
cluster,ccChooser
cluster,clhs
cluster,clue
cluster,clustEff
cluster,clusterSim
cluster,clustrd
cluster,CLUSTShiny
cluster,clv
cluster,clValid
cluster,cobiclust
cluster,comato
cluster,conjoint
cluster,convevol
cluster,CORElearn
cluster,CrossClustering
cluster,cstab
cluster,dbstats
cluster,DESnowball
cluster,disclapmix
cluster,DisimForMixed
cluster,divo
cluster,dtwclust
cluster,ECoL
cluster,effectFusion
cluster,fpc
cluster,FPDclustering
cluster,funrar
cluster,gama
cluster,gclus
cluster,geneSignatureFinder
cluster,geophys
cluster,GLDEX
cluster,glmmfields
cluster,GrammR
cluster,gromovlab
cluster,GrpString
cluster,hkclustering
cluster,ICGE
cluster,inpdfr
cluster,ipft
cluster,isopam
cluster,knnGarden
cluster,labdsv
cluster,lakemorpho
cluster,LocalControl
cluster,LocalControlStrategy
cluster,maptree
cluster,MEGENA
cluster,mfe
cluster,MiRAnorm
cluster,MiSPU
cluster,MixGHD
cluster,MOCCA
cluster,multibiplotGUI
cluster,mutSignatures
cluster,nomclust
cluster,oompaBase
cluster,optpart
cluster,pamr
cluster,pavo
cluster,PINSPlus
cluster,pMineR
cluster,PReMiuM
cluster,PSF
cluster,RaceID
cluster,rainbow
cluster,RAINBOWR
cluster,randomcoloR
cluster,randomUniformForest
cluster,recluster
cluster,relations
cluster,rEMM
cluster,rfUtilities
cluster,RHPCBenchmark
cluster,RiemBaseExt
cluster,RPANDA
cluster,RPMM
cluster,rrcovNA
cluster,RSSL
cluster,semiArtificial
cluster,SemiPar
cluster,semtree
cluster,skmeans
cluster,stemmatology
cluster,stream
cluster,StructFDR
cluster,traj
cluster,treeClust
cluster,TSclust
cluster,TSdist
cluster,vegan
cluster,vegan3d
cluster,vmsbase
cluster,wordspace
cmprsk,APtools
cmprsk,cr17
cmprsk,crrp
cmprsk,crrstep
cmprsk,crskdiag
cmprsk,currentSurvival
cmprsk,Epi
cmprsk,frailtyHL
cmprsk,gcerisk
cmprsk,GFGM.copula
cmprsk,mafs
codetools,assertive.types
codetools,fc
codetools,foreach
codetools,globals
codetools,lintr
codetools,manipulateWidget
codetools,markmyassignment
codetools,MonetDB.R
codetools,MonteCarlo
codetools,multcomp
codetools,packager
codetools,packS4
codetools,pkgmaker
codetools,PopED
codetools,pryr
codetools,RStoolbox
codetools,simmer
codetools,sloop
codetools,STAR
codetools,svTools
coin,asht
coin,Coinprofile
coin,DCA
coin,kaps
coin,MKpower
coin,mrMLM
coin,mrMLM.GUI
coin,NPC
coin,pAnalysis
coin,party
coin,permGS
coin,rankFD
coin,shotGroups
colorRamps,ChaosGame
colorRamps,EEM
colorRamps,factorMerger
colorRamps,getspres
colorRamps,IOHanalyzer
colorRamps,iSDM
colorRamps,Morpho
colorRamps,plotKML
colorRamps,Table1Heatmap
colorRamps,takos
colorRamps,wavScalogram
combinat,addreg
combinat,AssocTests
combinat,CDVineCopulaConditional
combinat,cem
combinat,CloneSeeker
combinat,complexity
combinat,CorrBin
combinat,DESnowball
combinat,FLR
combinat,forensic
combinat,GameTheory
combinat,genetics
combinat,graphTweets
combinat,isocir
combinat,klaR
combinat,label.switching
combinat,lllcrc
combinat,lspartition
combinat,MCDA
combinat,MCMCprecision
combinat,ordinalForest
combinat,pcds
combinat,pcIRT
combinat,phytools
combinat,PoissonSeq
combinat,prob
combinat,qualCI
combinat,REREFACT
combinat,RMallow
combinat,rpcdsearch
combinat,sBIC
combinat,ScorePlus
combinat,SNPmaxsel
combinat,steadyICA
combinat,symmoments
combinat,TopicScore
compare,acebayes
compare,emuR
compare,HyRiM
compare,MonoInc
compare,relatable
CompQuadForm,AssocAFC
CompQuadForm,CKAT
CompQuadForm,cvmdisc
CompQuadForm,famSKATRC
CompQuadForm,fdaACF
CompQuadForm,FSTpackage
CompQuadForm,gskat
CompQuadForm,iGasso
CompQuadForm,kernelPSI
CompQuadForm,KMgene
CompQuadForm,KSPM
CompQuadForm,LGEWIS
CompQuadForm,LGRF
CompQuadForm,meta
CompQuadForm,MiST
CompQuadForm,MTAR
CompQuadForm,MVLM
CompQuadForm,nonnest2
CompQuadForm,ofGEM
CompQuadForm,OmnibusFisher
CompQuadForm,pedgene
CompQuadForm,POINT
CompQuadForm,rvTDT
CompQuadForm,seqMeta
CompQuadForm,shotGroups
CompQuadForm,tcgsaseq
coneproj,ADDT
coneproj,cgam
coneproj,ConSpline
coneproj,DoubleCone
coneproj,isotonic.pen
coneproj,mlt
coneproj,ShapeChange
coneproj,ShapeSelectForest
coneproj,tbm
config,cloudml
config,dccvalidator
config,golem
config,ProPublicaR
config,prrd
config,sparklyr
config,tableschema.r
config,tensorflow
config,tfruns
corpcor,BinNonNor
corpcor,BinNor
corpcor,BinOrdNonNor
corpcor,boral
corpcor,care
corpcor,carSurv
corpcor,clustrd
corpcor,COMBAT
corpcor,CopulaCenR
corpcor,corHMM
corpcor,covequal
corpcor,deepgmm
corpcor,EDISON
corpcor,ERP
corpcor,esaBcv
corpcor,FPCA2D
corpcor,FRCC
corpcor,GeneNet
corpcor,GLSME
corpcor,Hotelling
corpcor,HPbayes
corpcor,HSPOR
corpcor,idm
corpcor,iTOP
corpcor,kcirt
corpcor,longitudinal
corpcor,lvm4net
corpcor,lymphclon
corpcor,MAVTgsa
corpcor,MCMCglmm
corpcor,metavcov
corpcor,mgpd
corpcor,MultiOrd
corpcor,MultiVarMI
corpcor,mvMORPH
corpcor,netassoc
corpcor,nowcasting
corpcor,OrdNor
corpcor,OUwie
corpcor,parma
corpcor,pcev
corpcor,penalizedSVM
corpcor,perARMA
corpcor,PoisBinNonNor
corpcor,PoisBinOrd
corpcor,PoisBinOrdNonNor
corpcor,PoisBinOrdNor
corpcor,PoisNonNor
corpcor,PoisNor
corpcor,qtlhot
corpcor,ratematrix
corpcor,relaimpo
corpcor,rmgarch
corpcor,RMTL
corpcor,RNGforGPD
corpcor,RPANDA
corpcor,SCCS
corpcor,sda
corpcor,seedCCA
corpcor,segMGarch
corpcor,sideChannelAttack
corpcor,SMFI5
corpcor,splitFeas
corpcor,st
corpcor,strandCet
corpcor,VARshrink
corpcor,varTestnlme
corpcor,whitening
corpcor,xLLiM
corrplot,abcdeFBA
corrplot,aslib
corrplot,bigtime
corrplot,BNSP
corrplot,ddsPLS
corrplot,dynRB
corrplot,echarts4r
corrplot,ExPanDaR
corrplot,fabMix
corrplot,factorstochvol
corrplot,fdcov
corrplot,GoodmanKruskal
corrplot,jSDM
corrplot,mastif
corrplot,missSBM
corrplot,ModelMap
corrplot,PLNmodels
countrycode,auk
countrycode,cranly
countrycode,echarts4r
countrycode,eurostat
countrycode,GSODR
countrycode,idbr
countrycode,MazamaSpatialUtils
countrycode,psData
countrycode,rwunderground
countrycode,socialmixr
countrycode,xSub
coxme,famSKATRC
coxme,GWAF
coxme,KMgene
coxme,MAGNAMWAR
coxme,mlmm.gwas
coxme,RVFam
coxme,seqMeta
crayon,AMR
crayon,anomalize
crayon,available
crayon,babelwhale
crayon,baggr
crayon,basket
crayon,BatchGetSymbols
crayon,BCHM
crayon,biocompute
crayon,bomrang
crayon,c14bazAAR
crayon,cabinets
crayon,casino
crayon,classyfireR
crayon,clean
crayon,cleaner
crayon,cli
crayon,cliapp
crayon,cobalt
crayon,coinmarketcapr
crayon,collateral
crayon,colt
crayon,configural
crayon,correlationfunnel
crayon,corx
crayon,covr
crayon,cowsay
crayon,CrossClustering
crayon,crunch
crayon,crypto
crayon,cSEM
crayon,cyclocomp
crayon,DataPackageR
crayon,debugme
crayon,desc
crayon,devtools
crayon,dexterMST
crayon,DHS.rates
crayon,diffobj
crayon,disk.frame
crayon,DLMtool
crayon,dtplyr
crayon,dundermifflin
crayon,dynutils
crayon,eplusr
crayon,evaluator
crayon,fgeo
crayon,fiery
crayon,foghorn
crayon,fpp3
crayon,furniture
crayon,GA
crayon,gcForest
crayon,gitignore
crayon,gmailr
crayon,golem
crayon,goodpractice
crayon,gtsummary
crayon,hgutils
crayon,idiogramFISH
crayon,interactions
crayon,ipmisc
crayon,ipumsr
crayon,IRkernel
crayon,jetpack
crayon,jstor
crayon,jtools
crayon,konfound
crayon,LearningRlab
crayon,lintr
crayon,LLSR
crayon,lobstr
crayon,MachineLearning
crayon,MarginalMediation
crayon,multicolor
crayon,music
crayon,NACHO
crayon,nlmixr
crayon,nlrx
crayon,obfuscatoR
crayon,odin
crayon,openVA
crayon,OptimClassifier
crayon,outsider.base
crayon,packagedocs
crayon,packagefinder
crayon,packager
crayon,pak
crayon,panelr
crayon,ParBayesianOptimization
crayon,partition
crayon,peRspective
crayon,photosynthesis
crayon,piggyback
crayon,pillar
crayon,pins
crayon,pkgbuild
crayon,pkgdown
crayon,plumber
crayon,portalr
crayon,ppgmmga
crayon,prettycode
crayon,progress
crayon,promotionImpact
crayon,prrd
crayon,psychmeta
crayon,ralger
crayon,ramlegacy
crayon,randomNames
crayon,rcmdcheck
crayon,rdoc
crayon,readit
crayon,readr
crayon,recombinator
crayon,recorder
crayon,reproducible
crayon,RFishBC
crayon,rhub
crayon,riingo
crayon,rijkspalette
crayon,rmd
crayon,Rtrack
crayon,RxODE
crayon,sars
