package,installed,loadable,package_native_code,package_r_code,package_code,runnable_code,runnable_files,runnable_code_examples,runnable_code_vignettes,runnable_code_tests,runnable_files_examples,runnable_files_vignettes,runnable_files_tests,coverage_expr,coverage_line,runnable_success,runnable_error,runnable_time,runnable_rate,funs_private,funs_public,funs,revdeps,funs_with_assert,asserts
abf2,TRUE,TRUE,0,673,673,6,6,6,0,0,6,0,0,0,0,6,0,0.2179999999999999,1,7,2,9,NA,NA,NA
ABHgenotypeR,TRUE,TRUE,0,370,370,35,11,13,22,0,10,1,0,0.9084967320261438,0.948051948051948,11,0,2.320000000000001,1,0,10,10,NA,NA,NA
abind,TRUE,TRUE,0,427,427,348,10,68,0,280,5,0,5,0.7643504531722054,0.7485380116959064,7,3,1.5359999999999998,0.7,4,5,9,113,1,3
abjutils,TRUE,TRUE,0,401,401,111,12,49,0,62,8,0,4,0.3886255924170616,0.36423841059602646,8,1,3.337000000000001,0.8888888888888888,7,27,34,NA,NA,NA
abn,TRUE,TRUE,8198,3791,11989,983,28,181,0,802,24,1,3,NA,NA,23,2,7.208000000000009,0.92,60,24,84,NA,NA,NA
abnormality,TRUE,TRUE,0,100,100,11,2,11,0,0,2,0,0,0.6578947368421053,0.6666666666666665,2,0,0.666000000000001,1,2,2,4,NA,NA,NA
abodOutlier,TRUE,TRUE,0,104,104,3,1,3,0,0,1,0,0,0.691358024691358,0.691358024691358,1,0,0.948,1,0,1,1,NA,NA,NA
ABPS,TRUE,TRUE,0,78,78,80,5,10,0,70,2,0,3,0.8620689655172413,0.875,3,0,4.518000000000001,1,0,2,2,NA,NA,NA
AbsFilterGSEA,FALSE,FALSE,639,132,771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AbSim,TRUE,TRUE,0,771,771,33,3,2,31,0,2,1,0,0.4766187050359712,0.47719298245614034,3,0,0.715,1,4,4,8,NA,NA,NA
abstractr,TRUE,TRUE,0,3,3,71,2,1,70,0,1,1,0,0,0,2,0,4.316999999999999,1,0,1,1,NA,NA,NA
abtest,TRUE,TRUE,208,2221,2429,386,19,111,0,275,13,0,6,0.7654093836246552,0.7706146926536732,14,0,75.72299999999998,1,51,15,66,NA,NA,NA
abundant,TRUE,TRUE,35,287,322,37,2,37,0,0,2,0,0,0.6,0.6126126126126126,2,0,7.8,1,4,2,6,NA,NA,NA
Ac3net,TRUE,TRUE,0,225,225,18,12,18,0,0,12,0,0,0.05314009661835748,0.04918032786885246,12,0,1.5369999999999966,1,0,9,9,NA,NA,NA
ACA,TRUE,TRUE,0,651,651,7,1,7,0,0,1,0,0,0,0,1,0,156.727,1,0,1,1,NA,NA,NA
acc,TRUE,TRUE,206,1595,1801,18,17,18,0,0,17,0,0,0.0440251572327044,0.03443619176232275,17,0,0.5679999999999904,1,14,15,29,NA,NA,NA
accelerometry,TRUE,TRUE,1141,868,2009,166,14,112,54,0,13,1,0,0.5952161913523459,0.6135303265940902,14,0,1.1140000000000012,1,15,14,29,2,NA,NA
accelmissing,TRUE,TRUE,0,441,441,72,10,72,0,0,10,0,0,0.4138817480719794,0.452914798206278,10,0,9.249000000000002,1,0,10,10,NA,NA,NA
accept,TRUE,TRUE,0,343,343,11,4,11,0,0,4,0,0,0.9876543209876543,0.9924528301886792,4,0,10.056000000000001,1,1,4,5,NA,NA,NA
AcceptanceSampling,TRUE,TRUE,0,668,668,65,3,23,42,0,2,1,0,0.6176470588235294,0.6383495145631068,3,0,5.201,1,16,6,22,NA,NA,NA
ACCLMA,TRUE,TRUE,0,146,146,243,12,243,0,0,12,0,0,0.7706422018348624,0.7867647058823529,12,0,1.0790000000000006,1,0,11,11,NA,NA,NA
accrual,TRUE,TRUE,0,438,438,35,12,35,0,0,12,0,0,NA,NA,10,2,7.1380000000000035,0.8333333333333334,0,10,10,NA,NA,NA
accrued,TRUE,TRUE,0,748,748,124,18,124,0,0,18,0,0,0.9642218246869408,0.9735849056603773,18,0,7.5809999999999995,1,0,16,16,NA,NA,NA
accSDA,TRUE,TRUE,0,1567,1567,195,10,195,0,0,10,0,0,0.5144404332129964,0.5331772053083529,10,0,8.092,1,33,8,41,NA,NA,NA
ACD,TRUE,TRUE,0,2508,2508,441,7,441,0,0,7,0,0,0.7411699779249448,0.7749900438072481,7,0,5.938000000000002,1,14,7,21,NA,NA,NA
ACDm,TRUE,TRUE,2030,2490,4520,36,16,36,0,0,16,0,0,NA,NA,16,0,6.809,1,19,45,64,NA,NA,NA
ace2fastq,TRUE,TRUE,0,79,79,95,5,4,25,66,1,1,3,1,1,3,0,1.9700000000000022,1,1,1,2,NA,1,4
acebayes,TRUE,TRUE,1387,2079,3466,136,8,136,0,0,7,1,0,0.34321880650994574,0.3526635198921106,8,0,6.303000000000001,1,23,43,66,NA,NA,NA
acepack,TRUE,TRUE,1395,220,1615,75,4,59,0,16,2,0,2,0.6446969696969697,0.6468373493975903,3,0,1.3000000000000007,1,1,2,3,1,NA,NA
ACEt,TRUE,TRUE,3075,2510,5585,10,7,10,0,0,7,0,0,0.11269649334945588,0.10369410239792613,7,0,1.5570000000000026,1,19,5,24,NA,NA,NA
acfMPeriod,TRUE,TRUE,0,441,441,17,6,17,0,0,6,0,0,0.8784722222222221,0.8819875776397516,6,0,4.918000000000003,1,4,8,12,NA,NA,NA
acid,FALSE,FALSE,0,856,856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acm4r,TRUE,TRUE,0,1378,1378,68,6,68,0,0,6,0,0,0.8489425981873111,0.8640132669983416,6,0,11.217,1,14,7,21,NA,NA,NA
ACMEeqtl,TRUE,TRUE,254,562,816,156,5,96,60,0,4,1,0,NA,NA,5,0,7.855999999999999,1,2,5,7,NA,5,17
acmeR,TRUE,TRUE,0,1353,1353,16,4,5,11,0,3,1,0,0.4895314057826521,0.4831970935513169,4,0,30.050000000000004,1,46,3,49,NA,NA,NA
ACNE,FALSE,FALSE,0,637,637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acnr,TRUE,TRUE,0,43,43,190,14,25,77,88,7,2,5,0.9655172413793103,0.9310344827586207,10,0,36.27600000000001,1,1,4,5,NA,NA,NA
acopula,TRUE,TRUE,0,1287,1287,57,8,57,0,0,8,0,0,0.5295508274231678,0.5267034990791897,8,0,10.234000000000002,1,0,45,45,NA,NA,NA
AcousticNDLCodeR,TRUE,TRUE,0,212,212,8,8,8,0,0,8,0,0,0,0,8,0,0.6229999999999978,1,0,8,8,NA,NA,NA
acp,TRUE,TRUE,0,513,513,54,4,54,0,0,4,0,0,0.8553921568627451,0.8535980148883374,4,0,11.184999999999999,1,7,9,16,NA,NA,NA
aCRM,TRUE,TRUE,0,73,73,26,5,26,0,0,5,0,0,0.9482758620689655,0.9454545454545454,5,0,6.182999999999999,1,2,4,6,NA,NA,NA
AcrossTic,TRUE,TRUE,0,188,188,19,4,19,0,0,4,0,0,0.5428571428571428,0.5562913907284768,4,0,1.412,1,0,5,5,NA,NA,NA
acrt,TRUE,TRUE,205,394,599,11,3,11,0,0,3,0,0,0.1986301369863014,0.21008403361344538,3,0,0.5650000000000012,1,16,3,19,NA,NA,NA
acs,TRUE,TRUE,0,1664,1664,116,16,116,0,0,16,0,0,0.36133122028526155,0.3972201901975128,16,0,4.249000000000004,1,6,50,56,1,NA,NA
ACSNMineR,TRUE,TRUE,0,773,773,56,7,22,34,0,5,2,0,0.5769230769230769,0.5026833631484794,7,0,4.1899999999999995,1,3,5,8,NA,NA,NA
acss,TRUE,TRUE,0,142,142,148,8,50,0,98,6,0,2,0.6885245901639344,0.6542056074766355,5,1,15.55800000000001,0.8333333333333334,2,11,13,NA,NA,NA
acss.data,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
ACSWR,TRUE,TRUE,0,360,360,503,75,503,0,0,75,0,0,0.4879725085910653,0.4980392156862745,74,1,5.577999999999994,0.9866666666666667,0,32,32,NA,NA,NA
ACTCD,TRUE,TRUE,70,405,475,64,7,64,0,0,7,0,0,0.7845117845117845,0.7909967845659164,7,0,0.6860000000000008,1,5,5,10,NA,NA,NA
ActFrag,TRUE,TRUE,0,241,241,30,5,19,5,6,3,1,1,0.6825396825396826,0.6444444444444444,4,0,7.8500000000000005,1,0,3,3,NA,NA,NA
Actigraphy,TRUE,TRUE,0,250,250,198,8,69,129,0,5,3,0,0.8870056497175142,0.9130434782608695,8,0,14.502999999999998,1,0,7,7,NA,NA,NA
ActiveDriver,TRUE,TRUE,0,294,294,8,1,8,0,0,1,0,0,0.7809523809523811,0.79296875,1,0,40.702,1,12,2,14,NA,NA,NA
ActiveDriverWGS,FALSE,FALSE,0,365,365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ActivePathways,FALSE,FALSE,0,344,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
activity,TRUE,TRUE,0,492,492,131,16,131,0,0,16,0,0,0.8372093023255814,0.8265060240963855,16,0,47.80300000000001,1,2,16,18,NA,NA,NA
activityCounts,TRUE,TRUE,0,137,137,18,2,6,12,0,1,1,0,0.9130434782608695,0.963302752293578,2,0,7.167,1,3,1,4,NA,NA,NA
activPAL,TRUE,TRUE,0,1015,1015,84,10,25,0,59,5,0,5,0.5522151898734177,0.5154130702836005,6,0,28.187,1,35,7,42,NA,NA,NA
activpalProcessing,TRUE,TRUE,0,835,835,77,28,77,0,0,28,0,0,0.4037122969837587,0.2743119266055046,28,0,22.121999999999996,1,0,19,19,NA,NA,NA
actogrammr,TRUE,TRUE,0,111,111,31,5,11,0,20,3,0,2,0.9574468085106383,0.9191919191919191,4,0,9.794,1,1,3,4,NA,2,3
actuar,TRUE,TRUE,6085,3331,9416,1051,69,675,376,0,63,6,0,0.7151958028855162,0.7385502471169687,67,2,5.8249999999999975,0.9710144927536232,66,233,299,14,NA,NA
AcuityView,TRUE,TRUE,0,188,188,6,1,6,0,0,1,0,0,0.8648648648648648,0.8601398601398601,1,0,4.264,1,2,2,4,NA,NA,NA
ada,TRUE,TRUE,0,764,764,14,2,14,0,0,2,0,0,0.5206896551724138,0.5229793977812995,2,0,2.271999999999999,1,9,3,12,3,NA,NA
adabag,TRUE,TRUE,0,730,730,167,14,167,0,0,14,0,0,0.8083140877598153,0.7433808553971487,14,0,31.77900000000001,1,3,16,19,1,NA,NA
adagio,TRUE,TRUE,1012,1168,2180,114,17,114,0,0,17,0,0,0.7808607021517554,0.7828362114076399,17,0,1.1320000000000026,1,10,31,41,1,11,12
adamethods,FALSE,FALSE,0,2553,2553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdapEnetClass,FALSE,FALSE,0,591,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adapr,TRUE,TRUE,0,2830,2830,115,116,115,0,0,115,1,0,0,0,116,0,0.35899999999998233,1,9,132,141,NA,NA,NA
AdapSamp,TRUE,TRUE,0,395,395,25,4,25,0,0,4,0,0,0.7142857142857143,0.7268041237113401,4,0,7.609999999999999,1,0,4,4,NA,NA,NA
adaptalint,TRUE,TRUE,0,47,47,43,4,7,0,36,2,0,2,1,1,3,0,10.075,1,0,4,4,NA,NA,NA
AdaptFit,TRUE,TRUE,0,1004,1004,39,2,39,0,0,2,0,0,0.6411192214111923,0.6359550561797753,1,1,0.153,0.5,0,10,10,NA,NA,NA
AdaptFitOS,TRUE,TRUE,574,2910,3484,54,9,54,0,0,9,0,0,0.4845434938892883,0.4681326872903466,9,0,7.855000000000002,1,13,25,38,NA,NA,NA
AdaptGauss,TRUE,TRUE,30,1689,1719,36,9,36,0,0,8,1,0,0.03134556574923547,0.025374855824682813,NA,NA,NA,NA,3,21,24,2,NA,NA
adaptiveGPCA,FALSE,FALSE,0,405,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdaptiveSparsity,TRUE,TRUE,222,239,461,8,2,8,0,0,2,0,0,0.7592592592592592,0.7631578947368421,2,0,1.435,1,10,11,21,NA,NA,NA
adaptivetau,TRUE,TRUE,1331,62,1393,107,4,48,59,0,3,1,0,0.5813333333333334,0.58311345646438,4,0,1.8219999999999985,1,0,3,3,2,NA,NA
adaptMCMC,TRUE,TRUE,0,181,181,65,4,65,0,0,4,0,0,0.782608695652174,0.7913669064748201,4,0,9.119,1,0,4,4,1,NA,NA
adaptMT,TRUE,TRUE,0,1293,1293,372,12,158,163,51,9,1,2,NA,NA,9,2,195.297,0.8181818181818182,30,14,44,NA,2,2
ADAPTS,FALSE,FALSE,0,877,877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adaptsmoFMRI,FALSE,FALSE,0,1377,1377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adaptTest,TRUE,TRUE,0,475,475,85,11,85,0,0,11,0,0,0.6433823529411765,0.6629213483146067,11,0,8.327,1,71,15,86,NA,NA,NA
AdaSampling,TRUE,TRUE,0,232,232,63,3,33,30,0,2,1,0,0.6719576719576721,0.7129629629629629,3,0,15.697000000000001,1,0,4,4,NA,NA,NA
ADCT,TRUE,TRUE,0,89,89,28,5,28,0,0,5,0,0,0.9574468085106383,0.948051948051948,5,0,3.021000000000001,1,0,5,5,NA,NA,NA
add2ggplot,TRUE,TRUE,0,118,118,70,8,36,34,0,7,1,0,0.7407407407407408,0.9345794392523366,8,0,1.0939999999999976,1,1,7,8,NA,NA,NA
addhaz,TRUE,TRUE,0,1031,1031,18,4,18,0,0,4,0,0,0.12868217054263567,0.1407766990291262,4,0,18.101,1,8,3,11,NA,NA,NA
addhazard,TRUE,TRUE,0,592,592,68,4,68,0,0,4,0,0,0.6895734597156398,0.6693711967545639,4,0,1.2540000000000002,1,14,3,17,NA,NA,NA
addinslist,TRUE,TRUE,0,293,293,4,1,4,0,0,1,0,0,0,0,1,0,0.212,1,9,1,10,NA,NA,NA
addinsOutline,TRUE,TRUE,0,1855,1855,25,5,20,5,0,4,1,0,0,0,5,0,0.5220000000000007,1,29,4,33,NA,NA,NA
additiveDEA,TRUE,TRUE,0,577,577,698,3,698,0,0,3,0,0,0.8496240601503761,0.8248337028824834,3,0,4.044999999999999,1,0,3,3,NA,NA,NA
additivityTests,TRUE,TRUE,0,173,173,47,9,26,21,0,8,1,0,0.9594594594594593,0.96,9,0,6.5539999999999985,1,1,7,8,1,NA,NA
addreg,TRUE,TRUE,0,2063,2063,67,15,67,0,0,15,0,0,0.6511041009463723,0.6607832322118037,14,1,12.894000000000004,0.9333333333333333,13,21,34,NA,NA,NA
ADDT,TRUE,TRUE,0,1492,1492,11,2,11,0,0,2,0,0,0.2684391080617496,0.22770123277737495,2,0,8.754,1,39,4,43,NA,NA,NA
ade4,TRUE,TRUE,4875,20295,25170,3644,280,3644,0,0,280,0,0,0.6276336874591963,0.6137832397499735,279,1,71.1460000000001,0.9964285714285714,198,216,414,42,NA,NA
ade4TkGUI,FALSE,FALSE,0,6713,6713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adeba,TRUE,TRUE,83,355,438,71,4,29,0,42,2,0,2,0.7574468085106383,0.7310344827586206,2,0,4.936999999999998,1,12,12,24,NA,4,7
adegenet,TRUE,TRUE,1400,8739,10139,1168,93,362,0,806,77,0,16,0.28459353442445556,0.2997074163592418,78,0,8.522000000000018,1,52,256,308,10,1,1
adegraphics,FALSE,FALSE,0,10057,10057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adehabitatHR,TRUE,TRUE,2609,3112,5721,709,14,116,593,0,13,1,0,0.5935637663885578,0.6002181025081789,14,0,58.868,1,10,45,55,3,NA,NA
adehabitatHS,TRUE,TRUE,2082,3072,5154,754,22,174,580,0,21,1,0,0.5474149129644064,0.5564764385507933,20,2,4.301000000000004,0.9090909090909091,0,52,52,NA,NA,NA
adehabitatLT,TRUE,TRUE,3728,3637,7365,931,58,391,540,0,57,1,0,0.46377082943269055,0.4608857967079586,57,1,6.277999999999978,0.9827586206896551,11,94,105,3,NA,NA
adehabitatMA,TRUE,TRUE,1561,1228,2789,332,16,141,191,0,15,1,0,0.5478983382209188,0.5360178970917227,16,0,13.494000000000005,1,8,24,32,4,NA,NA
adephylo,TRUE,TRUE,1527,1288,2815,320,26,209,111,0,25,1,0,0.5702830188679245,0.5738532110091743,25,1,25.01400000000004,0.9615384615384616,10,17,27,1,NA,NA
adepro,TRUE,TRUE,0,992,992,115,5,1,0,114,1,1,3,0.39501779359430605,0.738119312436805,3,0,8.379999999999997,1,14,1,15,NA,NA,NA
adept,TRUE,TRUE,0,300,300,1619,13,129,630,860,4,2,7,0.9282296650717703,0.9370860927152319,8,0,67.65100000000001,1,4,4,8,NA,NA,NA
adeptdata,TRUE,TRUE,0,3,3,3,1,0,0,3,0,0,1,NA,NA,1,0,0.00600000000000023,1,NA,NA,NA,NA,NA,NA
AdequacyModel,TRUE,TRUE,0,371,371,75,5,75,0,0,5,0,0,0.696035242290749,0.7463976945244957,5,0,35.994,1,0,4,4,3,NA,NA
adespatial,FALSE,FALSE,2697,4131,6828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adfExplorer,TRUE,TRUE,0,1258,1258,149,27,119,30,0,26,1,0,0.6774193548387096,0.7032136105860114,27,0,10.359000000000004,1,22,28,50,NA,NA,NA
ADGofTest,TRUE,TRUE,0,43,43,6,1,6,0,0,1,0,0,0.967741935483871,0.967741935483871,1,0,0.528,1,2,1,3,8,NA,NA
AdhereR,TRUE,TRUE,0,7959,7959,433,22,193,240,0,20,2,0,0.40530077427039907,0.49632578077158596,22,0,5.167000000000002,1,39,22,61,NA,NA,NA
adhoc,TRUE,TRUE,0,171,171,37,4,37,0,0,4,0,0,0.7518796992481203,0.7380952380952381,4,0,23.421999999999997,1,0,2,2,NA,NA,NA
adimpro,TRUE,TRUE,3333,4544,7877,19,19,19,0,0,19,0,0,0.0027184466019417475,0.002402306213965407,19,0,0.7059999999999991,1,42,37,79,2,NA,NA
adiv,FALSE,FALSE,0,8365,8365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AdjBQR,TRUE,TRUE,0,106,106,20,2,20,0,0,2,0,0,0.961038961038961,0.8974358974358975,2,0,5.806,1,0,6,6,NA,2,4
adjclust,TRUE,TRUE,332,1087,1419,530,24,31,38,461,5,3,16,0.6261398176291794,0.5929694727104533,7,2,7.032000000000003,0.7777777777777778,57,8,65,NA,NA,NA
adjustedcranlogs,TRUE,TRUE,0,87,87,1,1,1,0,0,1,0,0,0,0,1,0,0.304,1,0,1,1,NA,NA,NA
adklakedata,TRUE,TRUE,0,93,93,41,9,20,0,21,7,0,2,0.14583333333333334,0.13725490196078433,8,0,2.5879999999999996,1,1,9,10,NA,NA,NA
adlift,TRUE,TRUE,2030,2268,4298,399,40,399,0,0,40,0,0,0.4241232382825303,0.4590800477897253,40,0,13.04999999999999,1,1,49,50,5,NA,NA
admisc,TRUE,TRUE,0,2567,2567,89,10,89,0,0,10,0,0,0.662777129521587,0.6702399183256764,10,0,12.191999999999995,1,6,52,58,3,NA,NA
AdMit,TRUE,TRUE,126,579,705,199,5,84,115,0,4,1,0,0.7950450450450449,0.8202443280977313,5,0,12.387,1,13,5,18,NA,NA,NA
admixturegraph,TRUE,TRUE,0,13338,13338,660,23,229,153,278,15,1,7,0.3497970230040595,0.26651254953764864,16,1,2458.05,0.9411764705882353,281,64,345,NA,NA,NA
ADMM,TRUE,TRUE,860,507,1367,71,8,71,0,0,8,0,0,0.6311010215664018,0.6327868852459017,8,0,1.034999999999999,1,20,8,28,1,NA,NA
admmDensestSubmatrix,TRUE,TRUE,0,96,96,8,3,4,4,0,2,1,0,0.23684210526315788,0.17475728155339806,3,0,0.26099999999999934,1,0,3,3,NA,NA,NA
ADMMnet,TRUE,TRUE,1732,846,2578,43,3,43,0,0,3,0,0,0.44509803921568625,0.4512753433616743,3,0,1.7490000000000006,1,24,2,26,NA,NA,NA
ADMMsigma,TRUE,TRUE,464,428,892,149,10,60,34,55,4,3,3,0.8829568788501027,0.896551724137931,8,0,69.283,1,10,4,14,NA,NA,NA
adnuts,TRUE,TRUE,0,1256,1256,46,6,34,12,0,5,1,0,0.3701492537313433,0.3782234957020057,5,1,6.945,0.8333333333333334,29,9,38,NA,4,15
adoption,TRUE,TRUE,1598,2839,4437,78,5,78,0,0,5,0,0,0.4315352697095436,0.5595595595595596,5,0,5.8610000000000015,1,8,3,11,NA,2,20
adoptr,TRUE,TRUE,0,1188,1188,1929,55,219,167,1543,34,5,16,NA,NA,40,0,42.42500000000001,1,9,41,50,NA,NA,NA
ADPclust,TRUE,TRUE,0,471,471,313,18,27,13,273,3,1,14,0.6597938144329896,0.6171428571428571,5,0,33.607,1,8,9,17,NA,NA,NA
ADPF,TRUE,TRUE,0,250,250,10,2,10,0,0,2,0,0,0.8,0.8364485981308412,2,0,0.5910000000000002,1,0,1,1,NA,NA,NA
adpss,TRUE,TRUE,2119,443,2562,88,3,18,70,0,2,1,0,0.7213384530992869,0.7239330091842249,3,0,9.692,1,4,5,9,NA,NA,NA
ads,TRUE,TRUE,9467,3312,12779,290,25,290,0,0,25,0,0,0.6569828035435122,0.6736713364465199,21,4,12.028999999999996,0.84,62,19,81,NA,37,221
AdvBinomApps,TRUE,TRUE,0,787,787,172,12,172,0,0,12,0,0,0.81,0.8608799048751485,12,0,3.058000000000001,1,0,11,11,NA,NA,NA
advclust,TRUE,TRUE,0,908,908,45,10,28,17,0,9,1,0,0.7897727272727273,0.8358831710709318,10,0,17.348999999999997,1,7,29,36,NA,NA,NA
AdvDif4,TRUE,TRUE,0,194,194,177,2,177,0,0,2,0,0,0.9244186046511628,0.9395348837209302,2,0,8.426999999999998,1,0,2,2,NA,NA,NA
adwave,TRUE,TRUE,0,187,187,37,4,37,0,0,4,0,0,0.895,0.8911917098445595,4,0,6.938,1,0,3,3,NA,NA,NA
adwordsR,TRUE,TRUE,0,770,770,22,6,22,0,0,6,0,0,0.09130434782608696,0.15309446254071662,6,0,0.2980000000000006,1,0,32,32,NA,NA,NA
AEDForecasting,TRUE,TRUE,0,136,136,0,1,0,0,0,0,1,0,0,0,1,0,0.00499999999999989,1,0,1,1,NA,NA,NA
aemo,TRUE,TRUE,0,84,84,36,5,5,0,31,3,0,2,0.1111111111111111,0.1129032258064516,4,0,5.465999999999999,1,7,3,10,NA,1,1
AER,FALSE,FALSE,0,680,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AeRobiology,TRUE,TRUE,0,2384,2384,134,19,49,78,7,16,1,2,0.6405622489959839,0.7134314627414904,17,1,34.16299999999999,0.9444444444444444,0,17,17,NA,NA,NA
AF,TRUE,TRUE,0,974,974,231,8,231,0,0,8,0,0,0.8971848225214198,0.897196261682243,7,1,11.295999999999998,0.875,12,8,20,NA,NA,NA
afc,TRUE,TRUE,0,414,414,122,15,122,0,0,15,0,0,0.836461126005362,0.8205882352941177,15,0,0.6179999999999986,1,0,15,15,NA,NA,NA
afCEC,TRUE,TRUE,1537,145,1682,49,12,49,0,0,12,0,0,0.4106689246401355,0.4100596760443308,11,1,4.463000000000006,0.9166666666666666,5,1,6,NA,NA,NA
afex,FALSE,FALSE,0,2880,2880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
affluenceIndex,TRUE,TRUE,0,162,162,36,9,36,0,0,9,0,0,1,1,9,0,0.8320000000000011,1,0,8,8,NA,NA,NA
AFheritability,TRUE,TRUE,0,505,505,8,1,8,0,0,1,0,0,0.16802168021680217,0.12761020881670534,1,0,3.412,1,16,2,18,NA,NA,NA
AFM,TRUE,TRUE,0,5427,5427,217,43,197,0,20,39,0,4,0.15710205141521683,0.14057443365695793,39,0,8.644000000000004,1,70,109,179,NA,NA,NA
