package,installed,loadable,version,title,size,package_native_code,package_r_code,package_code,runnable_code,runnable_files,runnable_code_examples,runnable_code_vignettes,runnable_code_tests,runnable_files_examples,runnable_files_vignettes,runnable_files_tests,coverage_expr,coverage_line,funs_with_coverage,runnable_success,runnable_error,runnable_time,runnable_rate,funs_public,funs_private,funs_s3_dispatch,funs_s3_method,funs,funs_s3,s3_classes,revdeps,revdeps_runnable_code,revdep_coverage_expr,revdep_coverage_line,revdep_coverage_runs,funs_with_assert,asserts,uses_roxygen
binom,TRUE,TRUE,1.1-1,Binomial Confidence Intervals For Several Parameterizations,346286,161,1206,1367,43,15,43,0,0,15,0,0,0.6688741721854305,0.6475694444444444,28,15,0,11.740000000000002,1,21,15,0,0,36,0,0,9,4739,34.815515610217595,34.090909090909086,9,4,6,FALSE
bit,TRUE,TRUE,1.1-15.2,A Class for Vectors of 1-Bit Booleans,246675,1141,1689,2830,276,27,276,0,0,27,0,0,0.6945917285259811,0.6997929606625258,103,27,0,4.327000000000006,1,149,4,39,89,153,128,0,14,10311,29.745493107104988,29.71014492753623,14,4,4,FALSE
bit64,TRUE,TRUE,0.9-7,A S3 Class for Vectors of 64bit Integers,689980,6439,3952,10391,553,35,553,0,0,35,0,0,0.7320690950056329,0.7460745440126884,206,35,0,5.700000000000001,1,225,5,56,158,230,214,1,25,25369,14.77656778069846,13.639993611244211,24,9,79,FALSE
bitops,TRUE,TRUE,1.0-6,Bitwise Operations,28972,203,36,239,141,5,20,0,121,4,0,1,1,1,8,5,0,0.322,1,7,0,0,0,7,0,0,28,4794,68.88888888888889,62,28,NA,NA,FALSE
blob,TRUE,TRUE,1.2.1,"A Simple S3 Class for Representing Vectors of Binary Data
('BLOBS')",35934,0,269,269,160,8,6,0,154,1,0,7,0.8648648648648648,0.8461538461538461,28,2,0,2.142,1,8,38,3,18,46,21,3,5,2978,21.62162162162162,17.582417582417584,5,1,1,TRUE
bmp,TRUE,TRUE,0.3,Read Windows Bitmap (BMP) Images,347785,0,68,68,66,6,1,0,65,1,0,5,0.9137931034482759,0.9137931034482759,3,2,0,3.824,1,2,1,0,0,3,0,0,5,299,89.65517241379311,89.65517241379311,5,NA,NA,TRUE
bootstrap,TRUE,TRUE,2019.6,"Functions for the Book ""An Introduction to the Bootstrap""",97605,136,450,586,184,24,179,0,5,23,0,1,0.7551622418879056,0.7578947368421054,11,24,0,14.161000000000003,1,11,0,0,0,11,0,0,8,1727,12.684365781710916,13.157894736842104,8,NA,NA,FALSE
brew,TRUE,TRUE,1.0-6,Templating Framework for Report Generation,665962,0,243,243,21,2,21,0,0,2,0,0,0.79375,0.8312236286919831,6,2,0,2.382,1,5,2,0,0,7,0,0,17,23547,61.25000000000001,65.59633027522935,16,NA,NA,FALSE
calibrate,TRUE,TRUE,1.7.5,Calibration of Scatterplot and Biplot Axes,720694,0,419,419,300,12,65,235,0,11,1,0,0.9310344827586207,0.9339080459770115,11,12,0,5.295000000000002,1,11,2,0,0,13,0,0,8,2537,7.836990595611286,8.333333333333332,8,NA,NA,FALSE
capushe,TRUE,TRUE,1.1.1,CAlibrating Penalities Using Slope HEuristics,75252,0,1061,1061,50,7,50,0,0,7,0,0,0.6534914361001317,0.692485549132948,7,7,0,3.861000000000001,1,9,0,0,0,9,0,0,6,749,28.19499341238472,31.5606936416185,6,NA,NA,FALSE
cellranger,TRUE,TRUE,1.1.0,Translate Spreadsheet Cell Ranges to Rows and Columns,165307,0,502,502,580,24,159,0,421,16,1,7,0.9594594594594593,0.9595375722543352,58,18,0,3.029999999999999,1,23,41,9,24,64,33,0,7,6333,57.0945945945946,56.395348837209305,7,22,29,TRUE
checkmate,TRUE,TRUE,2.0.0,Fast and Versatile Argument Checks,856496,2079,1224,3303,2922,125,260,108,2554,59,2,64,0.9703628002043945,0.9680040629761301,100,61,1,30.668999999999997,0.9838709677419355,363,30,0,1,393,1,0,114,130076,71.58916709248851,71.40680548501777,110,NA,NA,TRUE
checkr,TRUE,TRUE,0.5.0,Check the Properties of Common R Objects,940168,0,1214,1214,995,108,235,35,725,60,2,46,0.8268991282689914,0.8255813953488372,91,62,1,3.411999999999999,0.9841269841269841,73,26,0,0,99,0,0,5,1558,37.359900373599004,36.56330749354005,5,NA,NA,TRUE
chk,TRUE,TRUE,0.4.0,Check User-Supplied Function Arguments,570173,0,998,998,2005,116,454,26,1525,70,2,44,0.934375,0.9082706766917293,141,73,1,5.054999999999998,0.9864864864864865,145,4,0,0,149,0,0,8,9790,48.28125,46.91729323308271,8,NA,NA,TRUE
CircStats,TRUE,TRUE,0.2-6,"Circular Statistics, from ""Topics in Circular Statistics"" (2001)",144722,0,981,981,95,21,95,0,0,21,0,0,0.6589403973509934,0.6435294117647059,25,21,0,1.9150000000000018,1,47,0,0,0,47,0,0,11,6616,18.543046357615893,16.86320754716981,11,NA,NA,FALSE
circular,TRUE,TRUE,0.4-93,Circular Statistics,689011,531,6129,6660,687,96,637,0,50,93,0,3,0.681862649188026,0.6753541076487253,199,96,0,5.948000000000009,1,128,126,11,59,254,70,0,18,4672,24.69184112698102,24.07231208372978,18,1,1,FALSE
class,TRUE,TRUE,7.3-15,Functions for Classification,88549,372,408,780,119,14,119,0,0,14,0,0,0.8870967741935484,0.902479338842975,18,14,0,3.6940000000000013,1,15,3,0,2,18,2,0,39,10337,42.943548387096776,43.63636363636363,39,NA,NA,FALSE
classInt,TRUE,TRUE,0.4-2,Choose Univariate Class Intervals,92213,78,502,580,315,7,260,0,55,6,0,1,0.8479657387580299,0.837953091684435,18,7,0,5.035000000000002,1,8,10,0,3,18,3,0,24,13471,43.0406852248394,41.7558886509636,24,NA,NA,FALSE
cli,TRUE,TRUE,2.0.2,Helpers for Developing Command Line Interfaces,445593,0,2886,2886,2681,69,411,30,2240,34,1,34,0.8208955223880597,0.8725961538461539,190,33,3,16.405,0.9166666666666666,88,157,1,14,245,15,3,71,92037,58.95522388059702,63.69346733668342,70,8,10,TRUE
cluster,TRUE,TRUE,2.1.0,"""Finding Groups in Data"": Cluster Analysis Extended Rousseeuw et
al.",1228952,3205,609,3814,1406,50,453,0,953,35,0,15,0.8884736993388905,0.8823953823953823,68,49,1,140.42499999999998,0.98,24,50,6,42,74,48,0,106,34470,63.95515952860017,63.87951807228915,102,13,17,FALSE
cmprsk,TRUE,TRUE,2.2-9,Subdistribution Analysis of Competing Risks,140204,769,447,1216,73,4,21,0,52,3,0,1,0.9611940298507463,0.9579349904397706,12,4,0,1.884,1,11,0,1,8,11,9,0,11,2429,84.5771144278607,85.8508604206501,11,NA,NA,FALSE
codetools,TRUE,TRUE,0.2-16,Code Analysis Tools for R,52762,0,1011,1011,98,4,10,0,88,3,0,1,0.7888888888888889,0.8007054673721341,67,3,1,1.4379999999999997,0.75,19,59,0,0,78,0,0,20,22569,69.55555555555556,70.97345132743362,20,NA,NA,FALSE
coin,TRUE,TRUE,1.3-1,Conditional Inference Procedures in a Permutation Test Framework,4070809,521,4583,5104,5741,50,794,802,4145,33,4,13,0.8919132149901381,0.8921568627450981,224,50,0,48.17600000000001,1,69,146,29,68,215,97,0,13,2410,26.272189349112423,26.732673267326735,13,2,5,FALSE
colorRamps,TRUE,TRUE,2.3,Builds color tables,14723,0,89,89,21,7,21,0,0,7,0,0,0.8292682926829268,0.7285714285714284,8,7,0,0.9619999999999985,1,13,0,0,0,13,0,0,11,2159,60.97560975609756,44.285714285714285,9,NA,NA,FALSE
combinat,TRUE,TRUE,0.0-8,combinatorics utilities,36740,0,313,313,19,6,19,0,0,6,0,0,0.7421052631578946,0.7340823970037453,8,6,0,0.5639999999999981,1,13,0,0,0,13,0,0,36,13899,71.05263157894737,67.04119850187266,36,NA,NA,FALSE
compare,TRUE,TRUE,0.2-6,Comparing Objects for Differences,1017386,0,1806,1806,696,17,102,10,584,15,1,1,0.8031980319803198,0.8450932684509327,91,16,1,1.033000000000001,0.9411764705882353,23,86,14,54,109,68,0,5,5620,34.932349323493234,44.090528080469404,5,NA,NA,FALSE
CompQuadForm,TRUE,TRUE,1.4.3,Distribution Function of Quadratic Forms in Normal Variables,50901,579,64,643,48,4,48,0,0,4,0,0,0.8881431767337807,0.8842592592592592,5,4,0,0.4869999999999979,1,4,1,0,0,5,0,0,26,4815,91.49888143176734,91.20370370370371,26,NA,NA,FALSE
coneproj,TRUE,TRUE,1.14,"Primal or Dual Cone Projections with Routines for Constrained
Regression",108890,310,843,1153,205,15,205,0,0,15,0,0,0.704367301231803,0.6923076923076923,20,15,0,4.238000000000001,1,14,7,0,4,21,4,0,9,1978,32.026875699888016,32.207207207207205,9,NA,NA,FALSE
config,TRUE,TRUE,0.3,Manage Environment Specific Configuration Values,76365,0,71,71,89,7,0,2,87,0,1,6,0.9047619047619048,0.9384615384615383,3,2,0,2.091999999999999,1,3,1,0,0,4,0,0,9,13527,85.71428571428571,86.27450980392157,9,NA,NA,TRUE
corpcor,TRUE,TRUE,1.6.9,Efficient Estimation of Covariance and (Partial) Correlation,94897,0,616,616,216,13,216,0,0,13,0,0,0.7740384615384616,0.7593052109181141,34,13,0,3.1110000000000007,1,29,8,1,0,37,1,0,69,11791,77.16346153846155,75.9493670886076,66,NA,NA,FALSE
corrplot,TRUE,TRUE,0.84,Visualization of a Correlation Matrix,12218908,0,736,736,572,11,213,124,235,6,1,4,0.9810874704491725,0.9783783783783784,14,8,0,12.138,1,7,7,0,0,14,0,0,17,8738,69.26713947990544,65.63636363636364,16,1,7,TRUE
countrycode,TRUE,TRUE,1.1.1,Convert Country Names and Country Codes,417219,0,139,139,619,11,4,0,615,1,0,10,0.7472527472527473,0.7352941176470589,1,2,0,21.424,1,1,0,0,0,1,0,0,11,5000,78.02197802197803,75.49019607843137,11,NA,NA,TRUE
coxme,TRUE,TRUE,2.2-16,Mixed Effects Cox Models,3597605,1349,2498,3847,1795,32,28,312,1455,6,4,22,0.7856150104239055,0.7888312480927678,29,27,5,30.829,0.84375,7,28,0,18,35,18,0,7,1219,13.968033356497568,13.753943217665615,7,NA,NA,FALSE
crayon,TRUE,TRUE,1.3.4,Colored Terminal Output,744805,0,681,681,664,29,130,0,534,17,0,12,0.6898734177215189,0.7018469656992085,47,18,0,3.4580000000000006,1,43,49,1,6,92,7,0,164,211355,60.12658227848101,60.6951871657754,162,5,7,TRUE
CTT,TRUE,TRUE,2.3.3,Classical Test Theory Functions,61506,0,470,470,107,13,107,0,0,13,0,0,0.7506631299734748,0.7589743589743589,13,13,0,6.4250000000000025,1,11,2,0,2,13,2,0,5,198,10.344827586206897,7.387862796833773,5,NA,NA,FALSE
curl,TRUE,TRUE,4.3,A Modern and Flexible Web Client for R,3960280,2668,609,3277,1007,37,112,98,797,15,2,20,0.8274456521739131,0.8197256694970608,51,16,3,79.782,0.8421052631578947,39,24,0,4,63,4,0,169,131898,75.47554347826086,74.24639580602883,166,21,30,TRUE
DALEX,TRUE,TRUE,1.0.1,moDel Agnostic Language for Exploration and eXplanation,1407712,0,1118,1118,555,32,121,0,434,20,0,12,0.9190082644628099,0.9278481012658227,88,21,0,42.072,1,39,64,2,38,103,40,0,9,4112,38.84297520661157,40.153452685421996,9,NA,NA,TRUE
data.tree,TRUE,TRUE,0.7.11,General Purpose Hierarchical Data Structure,6268858,0,1489,1489,2233,53,388,535,1310,37,2,14,0.8938906752411575,0.8885350318471338,99,39,1,24.350999999999992,0.975,49,33,1,12,82,13,0,17,3101,58.520900321543415,55.74468085106383,17,2,5,TRUE
DBI,TRUE,TRUE,1.1.0,R Database Interface,1716223,0,1176,1176,892,60,453,187,252,48,3,9,0.7304526748971193,0.7291666666666665,65,51,1,3.277999999999998,0.9807692307692307,66,31,2,3,97,5,2,121,70509,62.34567901234568,60.4261796042618,119,3,3,TRUE
dbplyr,TRUE,TRUE,1.4.2,A 'dplyr' Back End for Databases,1006922,0,4256,4256,2746,75,210,161,2375,20,6,49,0.8027744270205066,0.8296217744786144,386,NA,NA,NA,NA,104,385,20,255,489,275,5,23,16287,42.64173703256936,40.089753178758414,23,38,57,TRUE
dbscan,TRUE,TRUE,1.1-5,"Density Based Clustering of Applications with Noise (DBSCAN) and
Related Algorithms",4354308,4641,1213,5854,776,31,275,86,415,18,2,11,0.7043261749144102,0.7048174286590979,52,21,0,42.29299999999999,1,19,67,2,22,86,24,0,9,2032,21.101774042950513,20.459484632101834,9,NA,NA,FALSE
deldir,TRUE,TRUE,0.1-25,Delaunay Triangulation and Dirichlet (Voronoi) Tessellation,345931,1506,944,2450,189,20,189,0,0,20,0,0,0.8160792951541851,0.8141640042598509,29,20,0,6.326000000000002,1,29,2,1,9,31,10,0,24,20336,65.41850220264317,66.11526147278548,21,3,3,FALSE
DEoptim,TRUE,TRUE,2.2-5,Global Optimization by Differential Evolution,1386068,416,300,716,153,4,55,98,0,3,1,0,0.6686507936507937,0.6672661870503596,6,4,0,10.874,1,2,4,0,2,6,2,0,21,10825,67.85714285714286,66.0617059891107,21,NA,NA,FALSE
Deriv,TRUE,TRUE,4,Symbolic Differentiation,118502,0,1284,1284,419,5,9,0,410,2,0,3,0.6873315363881402,0.7292682926829268,26,3,0,12.363000000000001,1,5,41,0,0,46,0,0,9,5731,59.02964959568733,61.287398005439705,8,NA,NA,FALSE
desc,TRUE,TRUE,1.2.0,Manipulate DESCRIPTION Files,267511,0,1775,1775,1433,28,14,0,1419,2,0,26,1,1,216,3,0,12.948,1,50,166,1,40,216,41,0,28,21924,70.3225806451613,69.76127320954907,28,34,37,TRUE
diagram,TRUE,TRUE,1.6.4,"Functions for Visualising Simple Graphs (Networks), Plotting
Flow Diagrams",1255292,0,923,923,887,25,401,486,0,24,1,0,0.9313572542901716,0.933609958506224,29,25,0,3.799000000000003,1,28,1,0,0,29,0,0,9,4180,69.26677067082684,67.3582295988935,9,NA,NA,FALSE
DiagrammeR,TRUE,TRUE,1.0.5,Graph/Network Visualization,28512612,0,17679,17679,18793,300,5087,594,13112,238,5,57,0.835304553518628,0.8218090662210151,269,244,0,90.73099999999995,1,245,49,0,1,294,1,0,21,6030,8.91484328799527,10.569390039171795,21,2,2,TRUE
DiceKriging,TRUE,TRUE,1.5.6,Kriging Methods for Computer Experiments,378752,586,2760,3346,1226,30,528,0,698,21,0,9,0.6512924480486568,0.6596656665237891,58,22,0,30.145999999999994,1,50,28,0,3,78,3,0,18,4666,48.96097313735429,49.635369188696444,16,NA,NA,FALSE
diptest,TRUE,TRUE,0.75-7,Hartigan's Dip Test Statistic for Unimodality - Corrected,708439,199,170,369,199,9,69,66,64,5,1,3,0.9912280701754387,0.9926739926739927,8,9,0,9.635000000000002,1,2,5,0,2,7,2,0,11,3429,66.66666666666666,62.36162361623616,11,5,5,FALSE
distr,TRUE,TRUE,2.8.0,Object Oriented Implementation of Distributions,2099891,196,10851,11047,910,103,683,151,76,98,1,4,0.6683432403597013,0.6883973612727978,290,95,5,198.067,0.95,179,80,0,0,259,0,0,19,4349,54.90577325755309,56.469536339251505,19,NA,NA,FALSE
DistributionUtils,TRUE,TRUE,0.6-0,Distribution Utilities,170704,133,1074,1207,202,21,192,0,10,20,0,1,0.7513440860215055,0.7193181818181819,32,20,1,3.553000000000003,0.9523809523809523,28,5,0,0,33,0,0,5,3073,32.66129032258064,30.795454545454547,5,NA,NA,FALSE
docopt,TRUE,TRUE,0.6.1,Command-Line Interface Specification Language,138416,0,786,786,1198,4,8,0,1190,1,0,3,0.7262931034482759,0.752851711026616,38,1,0,1.675,1,1,40,0,1,41,1,0,5,6044,75.68181818181819,76.4406779661017,5,NA,NA,TRUE
doRNG,TRUE,TRUE,1.8.2,Generic Reproducible Parallel Backend for 'foreach' Loops,586681,0,168,168,589,8,98,174,317,4,1,3,0.8653846153846154,0.9027777777777779,11,6,0,74.75399999999999,1,3,10,0,0,13,0,0,11,2316,62.5,65.41353383458647,11,NA,NA,TRUE
DoseFinding,TRUE,TRUE,0.9-17,Planning and Analyzing Dose Finding Experiments,433494,495,4413,4908,1415,27,374,0,1041,17,0,10,0.6840446863362933,0.6760304541874508,107,26,1,28.116000000000014,0.9629629629629629,40,89,1,32,129,33,0,5,1409,22.343168146662848,22.614654717975753,5,NA,NA,FALSE
dplyr,TRUE,TRUE,0.8.4,A Grammar of Data Manipulation,3042936,4651,4618,9269,11609,156,840,377,10392,74,5,77,0.856658717208485,0.85092945662535735,458,79,1,48.626000000000026,0.9875,225,467,103,195,692,298,4,1308,812472,74.3879472693032,73.46135496183206,1284,16,19,TRUE
dtw,TRUE,TRUE,1.21-3,Dynamic Time Warping Algorithms,1771503,291,1184,1475,275,16,163,71,41,14,1,1,0.6707482993197279,0.7023086269744836,34,16,0,6.292999999999998,1,19,27,0,5,46,5,0,15,7337,33.74149659863945,34.15841584158416,14,NA,NA,TRUE
dummies,TRUE,TRUE,1.5.6,Create dummy/indicator variables flexibly and efficiently,21117,0,87,87,32,4,32,0,0,4,0,0,0.890909090909091,0.9032258064516128,5,4,0,2.4570000000000007,1,4,1,0,0,5,0,0,8,1366,69.0909090909091,72.58064516129032,8,NA,NA,FALSE
dygraphs,TRUE,TRUE,1.1.1.6,Interface to 'Dygraphs' Interactive Time Series Charting Library,1270330,0,1110,1110,215,29,133,0,82,17,0,12,0.7611464968152866,0.6970474967907575,37,18,0,1.9229999999999927,1,40,10,0,0,50,0,0,16,6831,57.00636942675159,49.282920469361144,16,NA,NA,TRUE
e1071,TRUE,TRUE,1.7-3,"Misc Functions of the Department of Statistics, Probability
Theory Group (Formerly: E1071), TU Wien",1353247,3784,2773,6557,431,42,352,73,6,40,1,1,0.6816816816816816,0.7107938568029418,74,42,0,14.898999999999997,1,58,33,2,28,91,30,0,87,25462,49.64964964964965,50.330833700926334,85,NA,NA,FALSE
elasticnet,TRUE,TRUE,1.1.1,Elastic-Net for Sparse Estimation and Sparse PCA,198111,0,669,669,40,5,40,0,0,5,0,0,0.744140625,0.7640067911714771,9,5,0,4.264000000000001,1,13,0,0,5,13,5,0,9,2041,53.7109375,55.952380952380956,9,NA,NA,FALSE
ellipse,TRUE,TRUE,0.4.1,"Functions for Drawing Ellipses and Ellipse-Like Confidence
Regions",48612,0,356,356,85,11,85,0,0,11,0,0,0.8755020080321284,0.8817204301075269,14,11,0,9.152000000000001,1,3,11,2,11,14,13,0,32,9549,32.93172690763052,32.25806451612903,30,NA,NA,FALSE
ellipsis,TRUE,TRUE,0.3.0,Tools for Working with ...,29415,97,86,183,110,8,33,0,77,4,0,4,0.9883720930232558,0.9911504424778761,13,5,0,1.1759999999999997,1,4,8,1,1,12,2,0,14,40766,82.55813953488372,82.30088495575221,14,NA,NA,TRUE
emplik,TRUE,TRUE,1.0-4.3,Empirical Likelihood Ratio for Censored/Truncated Data,768507,167,1832,1999,242,27,242,0,0,27,0,0,0.6719101123595506,0.67548596112311,41,27,0,8.275000000000007,1,45,5,0,0,50,0,0,7,225,15.617977528089888,16.333523700742433,7,NA,NA,FALSE
emulator,TRUE,TRUE,1.2-20,Bayesian Emulation of Computer Programs,1651320,0,762,762,488,24,402,86,0,22,2,0,0.7010050251256281,0.7080745341614907,39,24,0,9.620999999999995,1,41,0,0,0,41,0,0,8,2968,40.20100502512563,39.130434782608695,8,NA,NA,FALSE
entropy,TRUE,TRUE,1.2.1,"Estimation of Entropy, Mutual Information and Related Quantities",69197,0,332,332,109,11,109,0,0,11,0,0,0.6787330316742082,0.6485148514851485,29,11,0,0.8099999999999978,1,30,3,0,0,33,0,0,17,4739,36.65158371040724,33,17,NA,NA,FALSE
Epi,TRUE,TRUE,2.4,A Package for Statistical Analysis in Epidemiology,5748977,390,7821,8211,2025,91,1381,644,0,88,3,0,0.7582702271821443,0.757716561566545,187,NA,NA,NA,NA,167,88,15,47,255,62,0,6,3895,11.139896373056994,10.150312447221753,6,NA,NA,FALSE
epitools,TRUE,TRUE,0.5-10,Epidemiology Tools,336573,0,3285,3285,357,27,357,0,0,27,0,0,0.8589540412044374,0.9191660570592538,46,27,0,5.813,1,48,0,0,0,48,0,0,5,606,0,0,4,NA,NA,FALSE
evaluate,TRUE,TRUE,0.14,"Parsing and Evaluation Tools that Provide More Details than the
Default",85616,0,507,507,394,40,29,0,365,4,0,36,0.7966573816155988,0.8025,30,7,0,9.412000000000004,1,16,28,2,14,44,16,0,10,7638,62.39554317548747,64.84375,10,3,9,TRUE
