"arg_sig","count"
"[l{?}]/[survfitJM]/[{names}]",4
"[l{I}, l{L}, l{D}, l{C}, l{l{?}}, l{?}]/[, split]/[{}, {names}]",1
"[sI]/[fs_perms]/[{}]",1
"[M{D}]/[, colorSpec]/[{dim,dimnames}, {dim,dimnames,metadata,quantity,sequence,step.wl,wavelength}]",1
"[data.frame, unevaled]/[]/[{na.action,names,row.names,terms}, {}]",3
"[D, data.frame, sD]/[]/[{names,row.names}, {names}, {}]",1
"[sE]/[AppenderConsole,Appender,Filterable,R6, AppenderDt,Appender,Filterable,R6]/[{}]",1
"[l{L}, l{D}, l{l{?}}]/[]/[{names}]",1
"[D, M{D}]/[, xts,zoo]/[{.indexCLASS,.indexTZ,dim,index,tclass,tzone}, {}]",2
"[l{?}]/[HLfit,HLCor]/[{info.uniqueGeo,names}]",8
"[sS]/[SlicedData]/[{.xData}]",3
"[D, sF, unevaled]/[]/[{}]",5
"[data.frame]/[variogram]/[{names,row.names}]",1
"[l{?}]/[lrcagg]/[{names}]",2
"[sS]/[RasterLayer, RasterStack, TransitionLayer]/[{crs,data,extent,file,history,legend,ncols,nrows,rotated,rotation,title,z}, {crs,extent,filename,history,layers,ncols,nrows,rotated,rotation,title,z}, {crs,extent,history,layernames,matrixValues,ncols,nrows,rotated,rotation,title,transitionCells,transitionMatrix,unit,z}]",2
"[l{?}]/[igraph_rewiring_method]/[{names}]",1
"[data.frame]/[, nmGroupedData,groupedData]/[{formula,formulaList,FUN,names,order.groups,row.names}, {names,row.names}]",2
"[sS]/[sequences]/[{data,elements,info,quality,sequenceInfo,tidLists}]",8
"[L, sL]/[scalar_with_cause, vector_with_cause]/[{cause,names}, {cause}]",1
"[error, l{?}, l{D}, missing]/[]/[{names}, {}]",1
"[l{?}]/[esr,dudi]/[{names}]",3
"[l{D}]/[PHMM]/[{names}]",1
"[M{D}]/[]/[{dim,dimnames,grid.list}, {dim,dimnames}, {dim,scaled:center,scaled:scale,x.center,x.scale,x.scale.type}, {dim,scaled:center,scaled:scale}, {dim}]",7
"[sE]/[curve,feature,facade,dsproto]/[{}]",4
"[sC, sD, D, sI, M{I}, raw_NA]/[]/[{}, {dim}, {names}]",1
"[M{D}, M{I}, l{D}, sD]/[]/[{dim,dimnames}, {dim}, {}]",1
"[D, sS]/[, CI, RasterLayer]/[{crs,data,extent,file,history,legend,ncols,nrows,rotated,rotation,title,z}, {na.action}, {names}, {}]",1
"[C, I]/[]/[{names}]",3
"[M{D}, M{I}, M{X}, M{L}, M{C}, M{R}]/[]/[{dim}, {dim,dimnames}]",1
"[l{?}]/[heavy.family]/[{names}]",3
"[sS]/[Speclib]/[{bandnames,continuousdata,dropped,fwhm,ID,rastermeta,restorable,setmask,SI,spectra,transformation,usagehistory,wavelength,wavelength.is.range,wlunit,xlabel,ylabel}]",13
"[sD, D, sI, I]/[]/[{}, {names}]",5
"[M{D}, M{I}]/[]/[{dim,dimnames,n,vnames}, {dim,dimnames,n}, {dim,dimnames}, {dim}]",1
"[M{C}, sF]/[]/[{dim}, {}]",1
"[D]/[]/[{label}]",1
"[l{sN}, l{C}, sN]/[]/[{}]",1
"[sC]/[, SQL]/[{}]",2
"[D, I, sD]/[chron,dates,times, dates,times, times]/[{format,labels,names}, {format,names,origin}, {format,origin}, {format}, {origin}, {}]",1
"[sC, sD, D]/[]/[{}, {names}]",1
"[l{?}]/[InputsModel,daily,CemaNeige]/[{names}]",1
"[l{?}]/[h.mcv]/[{names}]",5
"[l{I}, sF]/[]/[{IP,srcref}, {}]",1
"[l{?}]/[fishnet,glmnet]/[{names}]",1
"[missing, sS]/[, big.matrix]/[{address}, {}]",1
"[l{?}]/[bet,dudi, mix,dudi, pca,dudi]/[{names}]",1
"[data.frame]/[]/[{names,row.names,wkt_column}]",2
"[D, data.frame, sD, sN]/[, CoDiNA,data.table, behavr,data.table, data.table]/[{.data.table.locked,.internal.selfref,names,row.names}, {.internal.selfref,index,names,row.names,sorted}, {.internal.selfref,index,names,row.names}, {.internal.selfref,metadata,names,row.names,sorted}, {.internal.selfref,metadata,names,row.names}, {.internal.selfref,names,row.names,sorted}, {.internal.selfref,names,row.names,spec}, {.internal.selfref,names,row.names,terms}, {.internal.selfref,names,row.names,trans}, {.internal.selfref,names,row.names}, {names,row.names}, {}]",1
"[M{D}]/[bootpath]/[{coefficients,dim,dimnames}]",2
"[D]/[, ts]/[{title,tsp}, {tsp}, {}]",8
"[sC, C, I]/[, icd9cm,icd9, icd9]/[{icd_short_diag}, {levels}]",1
"[M{C}, M{D}, M{I}]/[cenTS,xts,zoo, deficit,xts,zoo, xts,zoo]/[{.indexCLASS,.indexTZ,Ask,AskSize,Bid,BidSize,dim,dimnames,index}, {.indexCLASS,.indexTZ,censoring.rate,dim,dimnames,index,tclass,tzone,value.name,xreg}, {.indexCLASS,.indexTZ,deltat,dim,dimnames,hyearstart,index,institution,river,station,tclass,tzone,unit,unit.parsed}, {.indexCLASS,.indexTZ,dim,dimnames,hyearstart,index,institution,river,station,tclass,tzone,unit,unit.parsed}, {.indexCLASS,.indexTZ,dim,dimnames,index,Price,tclass,tzone}, {.indexCLASS,.indexTZ,dim,dimnames,index,Price}, {.indexCLASS,.indexTZ,dim,dimnames,index,tclass,tzone}, {.indexCLASS,.indexTZ,dim,dimnames,index}]",2
"[D, I]/[ts]/[{tsp}]",6
"[C, I, sC, sD, sN]/[, json]/[{}]",1
"[l{sF}]/[abstractiter,iter]/[{names}]",68
"[sC, sD, D, I, raw_NA]/[]/[{}, {names}]",1
"[sC]/[C++Class]/[{constructors,docstring,enums,fields,generator,methods,module,parents,pointer,typeid}]",4
"[I, M{D}]/[]/[{dim}, {levels}]",1
"[l{?}]/[APML0]/[{names}]",2
"[D]/[bayestheorem]/[{}]",1
"[D, M{D}]/[]/[{dim,dimnames}, {dim}, {lambda.freqs}, {}]",1
"[sC, C, sI, I, sN]/[]/[{}]",3
"[data.frame]/[filter_spct,generic_spct,tbl_df,tbl]/[{multiple.wl,names,row.names,spct.tags,spct.version,Tfr.type,what.measured}]",2
"[I, M{D}]/[]/[{dim,scaled:center,scaled:scale}, {}]",1
"[l{?}]/[, clusterGroupBound,hdi]/[{names}]",1
"[l{?}]/[logit]/[{names}]",1
"[D, I, L]/[pseries]/[{index,names}]",1
"[data.frame, l{C}, sN]/[]/[{names,row.names}, {names}, {}]",1
"[l{?}, l{D}, l{l{?}}]/[glsStruct,modelStruct, gnlsStruct,glsStruct,modelStruct, lmeStruct,modelStruct, lmeStructInt,lmeStruct,modelStruct, lmeStructInt,nlmeStruct,lmeStruct,modelStruct]/[{conLin,fixedSigma,glsFit,names,pmap}, {conLin,fixedSigma,lmeFit,local,model,names,NReal,pmap,resp,settings}, {conLin,fixedSigma,lmeFit,names,pmap,settings}, {conLin,fixedSigma,local,model,names,NReal,pmap,resp}, {conLin,fixedSigma,local,model,names,NReal,resp}, {conLin,glsFit,names,pmap}, {conLin,lmeFit,local,model,names,NReal,pmap,resp,settings}, {conLin,local,model,names,NReal,pmap,resp,settings}, {conLin,local,model,names,NReal,pmap,resp}, {conLin,local,model,names,NReal,resp}, {conLin,names,pmap,settings}, {fixedSigma,names,pmap,settings}, {fixedSigma,names,pmap}, {names,pmap}]",1
"[l{I}, l{?}]/[]/[{}]",2
"[sN]/[]/[{}]",13976
"[sD, D, I, sL, l{D}]/[]/[{}]",1
"[data.frame]/[Anova]/[{names,row.names}]",1
"[l{?}]/[coalescentIntervals]/[{names}]",3
"[D]/[bayestwin]/[{}]",2
"[data.frame, l{l{?}}]/[]/[{names,row.names}, {}]",6
"[l{?}]/[isnilmm]/[{names}]",2
"[D]/[]/[{m,mean}, {m}]",5
"[C, M{L}, sI]/[]/[{dim,dimnames}, {}]",2
"[sN, sS]/[, classRepresentation]/[{access,className,contains,package,prototype,sealed,slots,subclasses,validity,versionKey,virtual}, {}]",1
"[D]/[shingle]/[{levels}]",2
"[D, M{D}, l{?}]/[, agnes,twins, cl_dendrogram,cl_hierarchy, cl_membership, diana,twins, dist, hclust]/[{call,Diag,Labels,method,Size,Upper}, {dim,dimnames,is_cl_hard_partition,meta,n_of_classes}, {dim,dimnames,is_cl_hard_partition,n_of_classes}, {dim,is_cl_hard_partition,meta,n_of_classes}, {dim,is_cl_hard_partition,n_of_classes}, {names}, {}]",1
"[l{?}]/[agraph]/[{names}]",6
"[D, R, sD, sI, sR]/[, bigz]/[{mod}, {}]",1
"[M{D}, M{X}]/[]/[{dim,dimnames}]",1
"[l{D}]/[gqcStruct]/[{names}]",4
"[data.frame]/[]/[{estName,mesg,names,pri.vars,row.names}, {names,row.names}]",2
"[sD, l{?}]/[]/[{}, {names}]",3
"[sC, data.frame, l{l{?}}]/[]/[{}, {names,row.names}, {names}]",1
"[error, sS]/[, matrix.coo]/[{dimension,ia,ja,ra}, {}]",1
"[l{C}, l{sN}]/[]/[{}]",2
"[D, X]/[]/[{}]",10
"[l{sF}, l{?}]/[hedgehog.internal.tree]/[{names}]",4
"[language]/[formula, terms,formula]/[{.Environment,dataClasses,factors,intercept,order,predvars,response,term.labels,variables}, {.Environment}]",1
"[sF]/[rlang_handler_exiting,rlang_handler]/[{}]",1
"[C, D, I, L, R, X]/[labelled]/[{label}]",2
"[M{D}]/[]/[{dim,dimnames}, {dim,family,parameters}, {dim}]",2
"[sD]/[]/[{}, {gradient,hessian}]",1
"[l{l{?}}]/[variog4]/[{names}]",2
"[D, M{D}]/[, array]/[{dim}, {}]",5
"[l{L}, raw_NA]/[]/[{names}, {}]",1
"[l{Y}, sN]/[]/[{}]",1
"[data.frame]/[, sf]/[{names,row.names}, {names,row.names,sf_column}]",1
"[M{L}, missing, sI]/[]/[{dim,dimnames}, {}]",1
"[D, sF, unevaled]/[]/[{names}, {}]",1
"[l{?}]/[BootStep]/[{names}]",3
"[sC, l{?}]/[]/[{}]",1
"[sD, l{?}]/[, LiblineaR.ACF]/[{}, {names}]",1
"[data.frame]/[]/[{data_types,names,row.names}]",1
"[l{?}]/[bammshifts]/[{names}]",2
"[l{?}]/[bayesm.nmix]/[{names}]",1
"[C, I, M{C}, M{D}, l{?}, sC, sI]/[]/[{dim}, {names}, {}]",1
"[l{D}]/[prcomp]/[{names}]",1
"[l{?}]/[animated.grob,rect,grob,gDesc]/[{names}]",1
"[sE]/[FraudsterClient,R6]/[{}]",1
"[sC, sF]/[, glue]/[{srcref}, {}]",1
"[l{?}]/[summary.hdglm,summary.hdlm]/[{names}]",3
"[l{D}, sC, sD]/[]/[{}]",1
"[l{I}]/[simple_triplet_matrix]/[{names}]",2
"[D, sD]/[, haven_labelled]/[{label,labels}, {labels}, {names}, {}]",2
"[l{?}]/[MclustDA]/[{control,names}]",3
"[l{?}]/[ordspline]/[{names}]",2
"[l{?}]/[coxnet]/[{names}]",1
"[C, D, I]/[]/[{}, {levels}]",2
"[D, M{D}]/[]/[{dim,dimnames,scaled:center}, {dim,kernel}, {dim,scaled:center}, {dim}, {}]",1
"[sE]/[LoggerRoot,Logger,Filterable,R6]/[{}]",7
"[sD]/[varExp,varFunc]/[{covariate,formula,logLik,needUpdate,oClass,structName,weights,whichFix}, {covariate,formula,logLik,needUpdate,weights,whichFix}, {covariate,formula,needUpdate,whichFix}, {formula,logLik,needUpdate,weights,whichFix}]",1
"[M{I}]/[]/[{classidx,dim,dimnames,labels,nlevels,wt}]",2
"[M{D}]/[]/[{assign,dim,dimnames}, {assign,contrasts,dim,dimnames}]",8
"[l{?}]/[circle,grob,gDesc, rect,grob,gDesc, roundrect,grob,gDesc]/[{names}]",2
"[l{?}]/[minModel, singleCueModel, ttbGreedyModel, ttbModel]/[{names}]",1
"[l{?}]/[BinaryEPPM, betareg, bgtest,htest, glm,lm, glmx, hetglm, lm, mi.estimates, mlm,lm, negbin,glm,lm, robustified,glm,lm, robustified,lm]/[{method,names}, {names}]",1
"[sD, D, l{D}, l{?}]/[, hclust]/[{}, {names}]",1
"[sC, sD, C, D, sI]/[]/[{}, {names}]",1
"[l{D}, l{C}, l{?}]/[]/[{names}]",5
"[l{?}]/[cl_partition]/[{names}]",1
"[M{D}]/[cl_membership]/[{dim,dimnames,is_cl_hard_partition,n_of_classes}, {dim,is_cl_hard_partition,n_of_classes}]",3
"[C, I, L, raw_NA, sC, sD, sL, sN]/[]/[{}]",1
"[l{?}]/[coa,dudi]/[{names}]",2
"[D]/[pseudobma_bb_weights]/[{names}]",2
"[R, sD, sI, sR]/[, bigq, bigz]/[{denominator}, {mod}, {}]",1
"[sS]/[MULTINOMresponse, NORMresponse, depmix, transInit]/[{constr,family,fixed,formula,npar,parameters,x,y}, {dens,homogeneous,init,npars,nresp,nstates,ntimes,prior,response,transition,trDens}]",2
"[l{D}]/[, relistable]/[{}]",1
"[M{L}]/[]/[{dim,dimnames}, {dim}]",3
"[l{I}, sL]/[]/[{}]",1
"[sS]/[RepoBuildParam, GRANRepository]/[{manifest,param,results}, {archive_retries,archive_timing,auth,base_dir,build_timeout,check_note_ok,check_test,check_timeout,check_warn_ok,dest_base,dest_url,dl_method,email_notifications,email_opts,errlog,extra_fun,install_test,logfile,logfun,make_windows_bins,repo_archive,repo_metadata_dir,repo_name,shell_init,shell_timing,suspended,temp_checkout,temp_repo,tempLibLoc,use_cran_granbase}]",1
"[l{D}, sD]/[]/[{names}, {}]",6
"[l{sS}, l{l{?}}]/[]/[{names,split_labels,split_type}]",1
"[sF]/[CompositeFunction]/[{}]",10
"[C]/[]/[{names}, {}]",14
"[missing]/[]/[{}]",2610
"[M{D}]/[xts,zoo]/[{.indexCLASS,.indexTZ,dim,dimnames,index,src,tclass,tzone,updated}, {.indexCLASS,.indexTZ,dim,dimnames,index,tclass,tzone}]",1
"[l{l{?}}]/[cl_dendrogram_ensemble,cl_hierarchy_ensemble,cl_ensemble, cl_partition_ensemble,cl_ensemble]/[{n_of_objects,names}, {n_of_objects}]",3
"[sD, sN]/[, corBrownian,corPhyl,corStruct, corCompSymm,corStruct, corGrafen,corPhyl,corStruct, corMartins,corPhyl,corStruct]/[{fixed,formula,tree}, {fixed,formula}, {}]",2
"[C, sC, sD, sF, sL]/[]/[{}]",1
"[C, D, I]/[]/[{}, {names}]",1
"[C, sC, sN]/[]/[{}]",145
"[D, R, sR]/[, bigq]/[{denominator}, {}]",1
"[M{D}, M{I}, data.frame]/[]/[{dim,dimnames}, {dim}, {names,out.attrs,row.names}, {names,row.names}]",1
"[l{?}]/[cv.ncvreg]/[{names}]",2
"[l{?}]/[iBMA.glm]/[{names}]",2
"[l{sF}, l{l{?}}]/[]/[{}]",1
"[C, D, I, unevaled]/[, ordered]/[{label,levels}, {levels}, {}]",1
"[D]/[colorSpec]/[{metadata,quantity,specname,step.wl,wavelength}]",2
"[l{?}, l{C}, l{D}, l{I}, sN]/[]/[{names}, {}]",1
"[sD]/[]/[{Fit}]",1
"[data.frame, missing]/[, correlation_matrix,tbl_df,tbl]/[{names,row.names}, {}]",1
"[sL]/[]/[{}, {names}]",3
"[sC, C, D, I]/[]/[{}, {names}, {levels,names}]",1
"[sD, M{D}, M{I}]/[]/[{dim}]",1
"[sD]/[icc.lme4]/[{family,formula,link,model,names,rho.01,sigma_2,tau.00,tau.01,tau.11}]",2
"[sD, sL, L]/[]/[{}]",2
"[sS]/[SpatialPoints, SpatialPointsDataFrame, SpatialPolygons, SpatialPolygonsDataFrame]/[{bbox,comment,plotOrder,polygons,proj4string}, {bbox,coords,coords.nrs,data,proj4string}, {bbox,coords,proj4string}, {bbox,data,plotOrder,polygons,proj4string}]",2
"[l{C}]/[pillar_type]/[{min_width,names,width}]",2
"[l{?}]/[tree]/[{names,xlevels,ylevels}]",2
"[l{?}]/[yrcskew,rc.symm,rc,assocmod,gnm,glm,lm]/[{.Environment,names}]",2
"[arg20_t]/[arg20_c]/[arg20_a]",1
"[M{D}, missing]/[]/[{dim,dimnames}, {dim}, {}]",7
"[l{?}, l{C}, l{D}, missing, sD]/[]/[{names}, {}]",1
"[C, D, I, L, l{?}, l{I}, sC, sD, sI, sL, sN]/[, Date, POSIXct,POSIXt]/[{names}, {}]",1
"[sF]/[, aggregator]/[{srcref}, {}]",1
"[M{D}, sD]/[greta_array,array]/[{dim,node}]",3
"[l{?}]/[linear.gradient,gradient, radial.gradient,gradient]/[{names}]",1
"[M{D}]/[smooth]/[{alpha,call,deg,dim,dimnames,ev,kern,maxk,scale}]",1
"[missing, sN]/[]/[{}]",42
"[sC, sD, sL]/[, Date]/[{}]",2
"[D, M{D}, sS]/[, spam]/[{colindices,dimension,entries,rowpointers}, {dim}, {names}, {}]",1
"[C, language, l{?}, l{D}, l{l{?}}, sC, sD, sE, sF, sL, sN]/[, environment, formula]/[{.Environment}, {names}, {}]",1
"[l{?}]/[kdevinecop]/[{names}]",4
"[l{?}, l{D}, l{L}]/[, CURLOptions]/[{names}, {}]",1
"[D, sN]/[, yearqtr]/[{}]",2
"[l{?}]/[bGLMM]/[{names}]",1
"[l{C}]/[form_file]/[{names}]",2
"[sS]/[FuzzyNumber, PiecewiseLinearFuzzyNumber, PowerFuzzyNumber, TrapezoidalFuzzyNumber]/[{a1,a2,a3,a4,knot.alpha,knot.left,knot.n,knot.right,left,lower,right,upper}, {a1,a2,a3,a4,left,lower,p.left,p.right,right,upper}, {a1,a2,a3,a4,left,lower,right,upper}]",1
"[l{?}]/[clipPathDef]/[{names}]",2
"[l{?}]/[geodata]/[{names}]",14
"[sS, sD, sF]/[, publicValue, test, publicFunction]/[{}, {.xData}]",1
"[l{?}]/[between,dudi]/[{names}]",1
"[l{?}]/[assertionMessage,assertionCondition,simpleMessage,message,condition]/[{names}]",1
"[l{?}]/[aovp,aov,lm]/[{names}]",1
"[l{?}]/[jtGWAS]/[{names,outTopN,standardized}]",3
"[sC, C, l{C}]/[]/[{}]",1
"[C, M{C}, sN]/[]/[{dim}, {}]",1
"[l{?}]/[turbo]/[{names}]",1
"[sF]/[prdfn,fn]/[{conditions,mappings,parameters}]",2
"[D, I, sN]/[, ijtiff_img,array]/[{bits_per_sample,color_space,compression,dim,length,orientation,planar_config,resolution_unit,rows_per_strip,sample_format,samples_per_pixel,width,x_resolution,y_resolution}, {dim}, {}]",1
"[l{?}, sC]/[, gene,locus]/[{names}, {}]",1
"[sN, sS]/[, lavData]/[{case.idx,cluster,data.type,eXo,group,group.label,level.label,Lp,missing,Mp,ngroups,nlevels,nobs,norig,ordered,ov,ov.names,ov.names.l,ov.names.x,Rp,sampling.weights,std.ov,weights,X}, {}]",5
"[C, D, I, sI]/[]/[{names}, {}]",1
"[l{?}]/[LastWeekdayInMonthHoliday,Holiday]/[{names}]",1
"[l{?}]/[minimax]/[{names}]",1
"[sE]/[ScaleContinuous,Scale,ggproto,gg, ScaleContinuousPosition,ScaleContinuous,Scale,ggproto,gg]/[{}]",1
"[sF]/[python.builtin.object, python.builtin.function,python.builtin.object, python.builtin.type,python.builtin.object]/[{py_object,srcref}]",1
"[I, data.frame, l{I}]/[]/[{names,row.names}, {}]",1
"[l{sN}, l{?}]/[Globals]/[{where}, {names,where}]",2
"[sD]/[Interval]/[{day.mon,start,tzone}]",1
"[l{?}]/[glm,lm, gmm, hetglm, lm, maxLik,maxim, mlm,lm, ols,rms,lm]/[{names}]",1
"[sS]/[compcovar]/[{balanced,item.means,item.n,multivariate,n.items,n.observations,n.vars,overall.means,s.between,s.within,v.between,v.within,warn.type}]",1
"[sS, I]/[, RasterLayer]/[{levels}, {crs,data,extent,file,history,legend,ncols,nrows,rotated,rotation,title,z}, {levels,names}]",1
"[l{l{?}}]/[datalist]/[{condition.grid,names}]",7
"[M{I}]/[gmatrix]/[{dim}, {dim,dimnames}]",1
"[error, language]/[, call]/[{}]",2
"[l{I}, l{C}, l{l{?}}]/[]/[{}, {names}]",1
"[l{?}]/[gdpc]/[{names}]",6
"[C, l{l{?}}]/[]/[{}, {names}]",1
"[C, sS]/[, IRanges, MaskCollection, NormalIRanges, RleViews]/[{active,desc,elementMetadata,elementType,metadata,NAMES,nir_list,width}, {elementMetadata,elementType,metadata,NAMES,start,width}, {elementMetadata,elementType,metadata,ranges,subject}, {}]",1
"[C, D, I, L, sC, sI]/[]/[{}]",2
"[D, M{D}, data.frame]/[colorSpec]/[{calibrate,dim,dimnames,metadata,quantity,step.wl,wavelength}, {dim,dimnames,metadata,ptransform,quantity,step.wl,wavelength}, {dim,dimnames,metadata,quantity,step.wl,wavelength}, {metadata,names,quantity,row.names,step.wl,wavelength}, {metadata,names,quantity,row.names}, {metadata,quantity,specname,step.wl,wavelength}, {metadata,quantity,specname,wavelength}]",1
"[sD, l{D}]/[, aquaenv]/[{pH scale}, {names}]",1
"[D, M{D}]/[coxph.penalty, pspline,coxph.penalty]/[{Boundary.knots,cargs,cfun,cparm,diag,dim,intercept,nterm,pfun,pparm,printfun,varname}, {cargs,cfun,cparm,diag,pfun,printfun,sparse}]",2
"[sS]/[Seqinfo]/[{genome,is_circular,seqlengths,seqnames}]",14
"[sC, unevaled]/[, SQL]/[{}]",1
"[M{D}, sN]/[]/[{B0.group,dim,E.inv}, {Delta,dim,E.inv,WLS.V}, {dim}, {}]",3
"[l{language}, l{?}]/[spliced]/[{names}]",1
"[l{?}]/[orlm,orest]/[{names}]",7
"[sD, D, I]/[GRtime]/[{}, {names}]",1
"[l{?}, l{C}, l{D}, missing]/[]/[{names}, {}]",1
"[l{?}, l{C}, l{D}]/[]/[{names}]",4
"[l{?}, sN]/[, html_dependency]/[{names}, {}]",2
"[D, M{D}, l{?}, l{D}]/[, array, mcmc, mcmc.list]/[{dim,dimnames,mcpar}, {dim,dimnames}, {dim,mcpar}, {dim}, {mcpar}, {names}, {}]",1
"[l{D}, l{?}]/[jwt_claim]/[{names}]",1
"[sS]/[Line, Lines, Polygon, Polygons, SpatialLines, SpatialLinesDataFrame, SpatialMultiPoints, SpatialPoints, SpatialPolygons, SpatialPolygonsDataFrame]/[{ID,Lines}, {area,ID,labpt,plotOrder,Polygons}, {area,coords,hole,labpt,ringDir}, {bbox,comment,data,plotOrder,polygons,proj4string}, {bbox,comment,plotOrder,polygons,proj4string}, {bbox,coords,proj4string}, {bbox,data,lines,proj4string}, {bbox,lines,proj4string}, {coords}]",1
"[l{?}]/[rds-object]/[{names}]",8
"[l{?}]/[boot.lmf]/[{names}]",6
"[l{?}]/[phylo]/[{names}]",89
"[l{?}]/[biwavelet]/[{names}]",4
"[sC]/[, AsIs]/[{}]",1
"[l{?}]/[summary.negbin,summary.glm]/[{names}]",1
"[l{sS}, sN]/[, Font]/[{names}, {}]",1
"[D]/[ci]/[{conf.level,data.name,method,names}]",1
"[l{?}]/[bezierArcLength]/[{names}]",1
"[l{?}]/[coca,predcoca, predcoca,coca]/[{names}]",4
"[l{l{?}}]/[james]/[{names}]",7
"[sC, sD, sI]/[]/[{levels}, {}]",1
"[l{I}, l{L}, l{D}, l{C}, l{?}]/[]/[{names}]",3
"[l{l{?}}]/[bdplm]/[{names}]",1
"[l{?}]/[iforeach,iter, ixforeach,iter]/[{names}]",1
"[l{?}, sN]/[, recordedplot]/[{attach,engineVersion,load,pid,Rversion}, {}]",1
"[sD, M{D}]/[]/[{dim}]",78
