package_name,function_count,typed_function_count,all_typed
mcmc,20,6,FALSE
mcmcplots,19,10,FALSE
mcmcse,20,4,FALSE
memoise,26,0,FALSE
Metrics,32,2,FALSE
mice,204,0,FALSE
microbenchmark,11,11,TRUE
miniUI,14,9,FALSE
minpack.lm,14,7,FALSE
minqa,5,4,FALSE
mlbench,34,19,FALSE
mlegp,40,12,FALSE
mlr3,118,57,FALSE
mlr3misc,115,69,FALSE
mmand,48,3,FALSE
mnormt,10,4,FALSE
mockery,15,11,FALSE
mockr,23,18,FALSE
modelr,142,0,FALSE
modeltools,46,22,FALSE
moments,12,4,FALSE
moveHMM,41,8,FALSE
msm,247,101,FALSE
mstate,41,5,FALSE
multcomp,89,41,FALSE
multicool,13,4,FALSE
munsell,56,54,FALSE
mvmeta,41,35,FALSE
mvtnorm,31,22,FALSE
nabor,4,1,FALSE
NbClust,1,0,FALSE
neuralnet,28,9,FALSE
nleqslv,4,4,TRUE
nlme,1102,0,FALSE
nloptr,31,1,FALSE
nlstools,22,7,FALSE
nnls,12,4,FALSE
nor1mix,31,31,TRUE
norm,12,11,FALSE
normalp,25,18,FALSE
nortest,5,0,FALSE
numbers,62,12,FALSE
numDeriv,8,2,FALSE
oompaBase,28,19,FALSE
openssl,476,254,FALSE
optimx,66,53,FALSE
optparse,26,2,FALSE
ordinal,289,158,FALSE
orthopolynom,88,0,FALSE
outliers,14,5,FALSE
paradox,10,7,FALSE
parallelDist,7,0,FALSE
parallelMap,74,22,FALSE
parameters,604,41,FALSE
ParamHelpers,228,62,FALSE
parsnip,272,94,FALSE
party,101,17,FALSE
pastecs,90,60,FALSE
pbapply,17,13,FALSE
pdist,2,2,TRUE
pedigree,13,4,FALSE
permute,181,54,FALSE
phonTools,75,39,FALSE
photobiologyWavebands,71,57,FALSE
pillar,466,278,FALSE
pingr,18,16,FALSE
pinp,4,0,FALSE
pipeR,37,12,FALSE
pixmap,12,12,TRUE
pkgload,246,22,FALSE
plot3D,155,64,FALSE
plotly,384,164,FALSE
plotrix,172,20,FALSE
pls,77,36,FALSE
plyr,270,108,FALSE
polyclip,13,7,FALSE
polycor,10,5,FALSE
polynom,46,36,FALSE
PolynomF,77,35,FALSE
poweRlaw,62,23,FALSE
ppcor,4,4,TRUE
PresenceAbsence,16,4,FALSE
prettycode,24,6,FALSE
prettydoc,1,0,FALSE
prettyunits,30,20,FALSE
processx,314,80,FALSE
prodlim,83,56,FALSE
promises,104,68,FALSE
R.cache,36,11,FALSE
R.devices,88,52,FALSE
R.matlab,31,13,FALSE
R.methodsS3,32,15,FALSE
rcdd,34,20,FALSE
RcppEigen,15,4,FALSE
RcppGSL,13,5,FALSE
RcppXPtrUtils,6,6,TRUE
readbitmap,2,1,FALSE
readr,430,304,FALSE
readxl,70,40,FALSE
registry,14,8,FALSE
rematch2,12,6,FALSE
rentrez,64,25,FALSE
reshape,67,31,FALSE
reshape2,50,42,FALSE
ResourceSelection,32,17,FALSE
rex,150,86,FALSE
Rfit,37,19,FALSE
RhpcBLASctl,7,7,TRUE
rje,53,27,FALSE
rlist,127,78,FALSE
rmeta,29,15,FALSE
Rmpfr,122,50,FALSE
RNetCDF,32,2,FALSE
rpart,80,56,FALSE
rprojroot,70,0,FALSE
rrcov,120,76,FALSE
rsample,118,44,FALSE
rsdmx,90,16,FALSE
rsm,48,39,FALSE
rstantools,25,3,FALSE
rTensor,37,35,FALSE
rtf,39,16,FALSE
Rtsne,10,6,FALSE
sampling,61,59,FALSE
scagnostics,8,6,FALSE
scales,386,210,FALSE
selectr,90,58,FALSE
sessioninfo,33,13,FALSE
sets,427,183,FALSE
settings,11,9,FALSE
sfsmisc,149,39,FALSE
shape,26,16,FALSE
shinystan,41,20,FALSE
shinyWidgets,144,2,FALSE
signal,132,76,FALSE
sjlabelled,105,39,FALSE
SKAT,236,12,FALSE
SkewHyperbolic,26,8,FALSE
skimr,124,12,FALSE
slam,108,61,FALSE
sn,137,50,FALSE
snakecase,27,23,FALSE
SnowballC,2,2,TRUE
sodium,29,27,FALSE
som,17,12,FALSE
spacetime,145,57,FALSE
spam,192,35,FALSE
splines2,30,18,FALSE
splitstackshape,28,21,FALSE
SQUAREM,6,0,FALSE
startupmsg,16,12,FALSE
StatMatch,17,17,TRUE
statmod,51,40,FALSE
statnet.common,121,71,FALSE
stringdist,56,50,FALSE
stringr,132,122,FALSE
strucchange,77,14,FALSE
styler,306,122,FALSE
subplex,1,1,TRUE
survivalROC,2,2,TRUE
survminer,48,0,FALSE
survRM2,6,4,FALSE
sys,14,8,FALSE
tableone,93,50,FALSE
tensor,4,1,FALSE
tensorA,100,72,FALSE
testit,12,10,FALSE
TTR,65,45,FALSE
ucminf,1,1,TRUE
urca,25,0,FALSE
utf8,64,52,FALSE
uuid,1,1,TRUE
validate,133,110,FALSE
variables,43,28,FALSE
vcd,184,22,FALSE
vcfR,88,0,FALSE
vctrs,808,120,FALSE
vegan,598,0,FALSE
verification,55,6,FALSE
vioplot,3,2,FALSE
viridisLite,12,2,FALSE
vroom,140,89,FALSE
webmockr,86,23,FALSE
wesanderson,2,1,FALSE
withr,232,46,FALSE
wmtsa,106,56,FALSE
wrapr,131,73,FALSE
WriteXLS,2,1,FALSE
xtable,122,12,FALSE
zeallot,38,27,FALSE
